Rank,Name,Wins,Losses,Ties,Elo,Points,Points Against,Point Differential,Touchdowns,Passer Rating,Total Yards
1,Patriots,6,0,0,1660.0093768238721,31.666666666666668,8.0,23.666666666666668,3.3333333333333335,94.55818965517241,385.0
2,49ers,6,0,0,1582.8810051417731,26.0,10.666666666666666,15.333333333333334,2.5,90.07936507936508,385.6666666666667
3,Saints,6,1,0,1661.9871853719976,23.428571428571427,21.0,2.428571428571427,2.142857142857143,96.89625850340136,370.2857142857143
4,Packers,6,1,0,1613.0272356774647,26.285714285714285,19.857142857142858,6.428571428571427,3.142857142857143,102.06666666666668,372.0
5,Bills,5,1,0,1532.1480782256458,20.166666666666668,15.166666666666666,5.000000000000002,2.1666666666666665,76.3109756097561,361.1666666666667
6,Chiefs,5,2,0,1597.1754053303691,28.857142857142858,21.428571428571427,7.428571428571431,3.0,109.74616858237549,400.0
7,Ravens,5,2,0,1572.8493918994247,30.571428571428573,22.285714285714285,8.285714285714288,3.142857142857143,94.74924585218703,434.85714285714283
8,Seahawks,5,2,0,1576.997317881233,25.857142857142858,25.142857142857142,0.7142857142857153,2.857142857142857,112.463768115942,392.0
9,Vikings,5,2,0,1578.5053013941015,27.428571428571427,17.571428571428573,9.857142857142854,3.4285714285714284,112.24647266313931,391.0
10,Colts,4,2,0,1529.7809531193134,23.833333333333332,23.0,0.8333333333333321,2.8333333333333335,99.32568438003221,351.3333333333333
11,Panthers,4,2,0,1547.1076020374137,27.666666666666668,22.166666666666668,5.5,2.8333333333333335,88.41824644549764,351.5
12,Cowboys,4,3,0,1522.4198089609847,22.857142857142858,16.285714285714285,6.571428571428573,2.7142857142857144,101.78712480252766,380.2857142857143
13,Texans,4,3,0,1542.5695352439614,26.428571428571427,23.428571428571427,3.0,3.142857142857143,99.7704802259887,396.0
14,Rams,4,3,0,1562.3586958894864,27.142857142857142,23.428571428571427,3.7142857142857153,2.7142857142857144,82.40903755868545,373.57142857142856
15,Raiders,3,3,0,1452.4875703809269,21.166666666666668,27.5,-6.333333333333332,2.5,100.9982638888889,370.8333333333333
16,Bears,3,3,0,1539.6867080070886,18.666666666666668,17.5,1.1666666666666679,1.6666666666666667,84.56439393939394,263.6666666666667
17,Cardinals,3,3,1,1430.3582348523187,23.0,27.428571428571427,-4.428571428571427,2.142857142857143,84.3548906048906,358.0
18,Jaguars,3,4,0,1467.55774685866,20.571428571428573,21.142857142857142,-0.5714285714285694,1.7142857142857142,93.00531914893617,378.42857142857144
19,Eagles,3,4,0,1503.1694741606098,23.0,22.285714285714285,0.7142857142857153,2.5714285714285716,90.51136363636364,299.42857142857144
20,Titans,3,4,0,1467.352848471708,17.285714285714285,16.0,1.2857142857142847,2.0,90.94512195121952,306.42857142857144
21,Lions,2,3,1,1462.2071542112658,24.833333333333332,26.666666666666668,-1.8333333333333357,2.5,100.0,380.5
22,Browns,2,4,0,1480.6602393873425,20.0,25.666666666666668,-5.666666666666668,2.3333333333333335,62.89191419141914,351.1666666666667
23,Steelers,2,4,0,1504.408285323411,20.5,21.833333333333332,-1.3333333333333321,2.0,85.85526315789474,276.8333333333333
24,Buccaneers,2,4,0,1452.4964722143607,28.833333333333332,30.833333333333332,-2.0,3.0,81.95075757575758,367.6666666666667
25,Giants,2,5,0,1415.8426234689057,18.857142857142858,26.714285714285715,-7.857142857142858,2.0,74.06881313131314,328.57142857142856
26,Broncos,2,5,0,1462.1378253342396,16.0,19.428571428571427,-3.428571428571427,1.5714285714285714,82.78985507246377,317.42857142857144
27,Chargers,2,5,0,1470.299713608185,20.0,20.142857142857142,-0.14285714285714235,2.0,92.54663056558363,367.7142857142857
28,Jets,1,4,0,1396.2502978944556,12.6,24.6,-12.000000000000002,1.0,74.45175438596493,218.0
29,Falcons,1,6,0,1389.464222085287,20.714285714285715,31.857142857142858,-11.142857142857142,2.5714285714285716,98.48940435280643,367.42857142857144
30,Redskins,1,6,0,1374.0764373401987,12.857142857142858,25.142857142857142,-12.285714285714285,1.5714285714285714,79.21466973886328,267.14285714285717
31,Bengals,0,7,0,1342.1410144312556,16.285714285714285,26.571428571428573,-10.285714285714288,1.5714285714285714,74.11130536130536,305.2857142857143
32,Dolphins,0,6,0,1309.5842389727404,10.5,35.166666666666664,-24.666666666666664,1.1666666666666667,58.00233644859812,258.6666666666667
