home_team,away_team,home_score,away_score,date,year,week,home_spread,home_games_played,home_first_downs,home_rush_attempts,home_rushing_yards,home_rushing_touchdowns,home_pass_completions,home_pass_attempts,home_passing_yards,home_passing_touchdowns,home_interceptions_thrown,home_times_sacked,home_sacked_yards,home_net_passing_yards,home_total_yards,home_fumbles,home_fumbles_lost,home_turnovers,home_penalties,home_penalty_yards,home_third_down_conversions,home_third_downs,home_fourth_down_conversions,home_fourth_downs,home_time_of_possession,home_yards_allowed,home_interceptions,home_fumbles_forced,home_fumbles_recovered,home_turnovers_forced,home_sacks,home_sack_yards_forced,away_games_played,away_first_downs,away_rush_attempts,away_rushing_yards,away_rushing_touchdowns,away_pass_completions,away_pass_attempts,away_passing_yards,away_passing_touchdowns,away_interceptions_thrown,away_times_sacked,away_sacked_yards,away_net_passing_yards,away_total_yards,away_fumbles,away_fumbles_lost,away_turnovers,away_penalties,away_penalty_yards,away_third_down_conversions,away_third_downs,away_fourth_down_conversions,away_fourth_downs,away_time_of_possession,away_yards_allowed,away_interceptions,away_fumbles_forced,away_fumbles_recovered,away_turnovers_forced,away_sacks,away_sack_yards_forced
Patriots,Chiefs,27,42,9/7/2017,2017,1,-9,0,25,35,124,3,16,36,267,0,0,3,20,247,371,1,0,0,6,55,5,15,0,2,1786,537,0,2,1,1,3,16,0,26,27,185,2,28,35,368,4,0,3,16,352,537,2,1,1,15,139,4,11,0,0,1814,371,0,1,0,0,3,20
Rams,Colts,46,9,9/10/2017,2017,1,-3,0,19,33,63,2,22,30,318,1,0,1,8,310,373,2,1,1,7,50,5,14,0,0,2065,225,2,3,1,3,4,29,0,10,24,75,1,11,21,179,0,2,4,29,150,225,3,1,3,4,20,0,10,0,1,1535,373,0,2,1,1,1,8
Bills,Jets,21,12,9/10/2017,2017,1,-7.5,0,23,42,190,1,16,28,224,2,1,2,6,218,408,0,0,1,6,50,8,17,0,0,1984,214,2,2,0,2,1,11,0,11,15,38,1,26,39,187,0,2,1,11,176,214,2,0,2,5,62,4,14,1,1,1616,408,1,0,0,1,2,6
Packers,Seahawks,17,9,9/10/2017,2017,1,-2.5,0,26,28,84,1,28,42,311,1,1,4,25,286,370,1,0,1,8,70,9,16,0,0,2353,225,0,1,1,1,3,23,0,12,18,90,0,14,27,158,0,0,3,23,135,225,1,1,1,8,50,3,12,0,0,1247,370,1,1,0,1,4,25
Cowboys,Giants,19,3,9/10/2017,2017,1,-5.5,0,22,31,129,0,24,39,268,1,0,1,5,263,392,0,0,0,5,50,8,15,0,0,2054,233,1,1,0,1,3,22,0,13,12,35,0,29,38,220,0,1,3,22,198,233,1,0,1,6,55,4,12,1,1,1546,392,0,0,0,0,1,5
Browns,Steelers,18,21,9/10/2017,2017,1,10,0,20,25,57,1,20,30,222,1,1,7,42,180,237,1,0,1,4,61,3,12,2,2,1870,290,1,1,0,1,1,8,0,16,17,35,0,24,36,263,2,1,1,8,255,290,1,0,1,13,144,5,13,0,0,1730,237,1,1,0,1,7,42
Bengals,Ravens,0,20,9/10/2017,2017,1,-2.5,0,14,22,77,0,16,31,170,0,4,5,26,144,221,1,1,5,9,66,4,13,0,1,1560,268,1,1,0,1,1,10,0,17,42,157,1,9,17,121,1,1,1,10,111,268,1,0,1,11,85,6,14,0,0,2040,221,4,1,1,5,5,26
Bears,Falcons,17,23,9/10/2017,2017,1,6.5,0,20,19,125,1,26,40,213,1,0,4,37,176,301,2,0,0,4,40,5,13,1,2,1766,372,0,0,0,0,2,13,0,18,23,64,1,21,30,321,1,0,2,13,308,372,0,0,0,8,73,5,11,0,0,1834,301,0,2,0,0,4,37
Texans,Jaguars,7,29,9/10/2017,2017,1,-6,0,23,23,93,0,19,36,164,1,1,10,54,110,203,3,3,4,9,94,5,12,0,1,1795,280,0,1,0,0,0,0,0,19,39,155,1,11,21,125,1,0,0,0,125,280,1,0,0,10,89,3,12,1,1,1805,203,1,3,3,4,10,54
Redskins,Eagles,17,30,9/10/2017,2017,1,1.5,0,16,17,64,0,23,40,240,1,1,4,40,200,264,3,3,4,2,15,3,11,0,1,1544,356,1,1,1,2,2,9,0,19,24,58,0,26,39,307,2,1,2,9,298,356,1,1,2,8,76,8,14,0,0,2056,264,1,3,3,4,4,40
49ers,Panthers,3,23,9/10/2017,2017,1,4.5,0,13,15,51,0,24,35,193,0,1,4,27,166,217,1,1,2,10,74,2,11,1,4,1539,287,1,2,1,2,0,0,0,20,38,116,0,14,25,171,2,1,0,0,171,287,2,1,2,5,40,7,13,0,0,2061,217,1,1,1,2,4,27
Titans,Raiders,16,26,9/10/2017,2017,1,-2.5,0,21,21,95,1,25,41,256,0,0,1,1,255,350,0,0,0,5,49,7,14,0,0,1701,359,0,3,0,0,2,12,0,22,29,109,0,22,32,262,2,0,2,12,250,359,3,0,0,5,49,5,12,1,1,1899,350,0,0,0,0,1,1
Lions,Cardinals,35,23,9/10/2017,2017,1,2,0,19,27,82,0,29,41,292,4,1,1,7,285,367,1,0,1,10,100,8,16,0,1,2000,308,3,2,1,4,1,5,0,24,18,45,1,27,48,268,1,3,1,5,263,308,2,1,4,6,55,6,15,1,1,1600,367,1,1,0,1,1,7
Broncos,Chargers,24,21,9/11/2017,2017,1,-3,0,22,36,140,1,17,28,219,2,1,4,38,181,321,1,1,2,3,62,8,15,0,0,2053,249,1,0,0,1,1,7,0,17,22,64,0,22,33,192,3,1,1,7,185,249,0,0,1,4,40,3,12,1,2,1547,321,1,1,1,2,4,38
Vikings,Saints,29,19,9/11/2017,2017,1,-3,0,23,30,129,0,27,32,346,3,0,1,5,341,470,1,0,0,5,50,9,14,0,0,1876,344,0,0,0,0,1,7,0,19,21,60,0,27,37,291,1,0,1,7,284,344,0,0,0,6,52,4,11,0,0,1724,470,0,1,0,0,1,5
Bengals,Texans,9,13,9/14/2017,2017,2,-5.5,1,12,24,82,0,20,35,224,0,0,3,11,213,295,1,1,1,7,45,4,15,1,2,1665,266,0,0,0,0,3,27,1,14,35,168,1,15,24,125,0,0,3,27,98,266,0,0,0,9,61,4,15,0,0,1935,295,0,1,1,1,3,11
Panthers,Bills,9,3,9/17/2017,2017,2,-6.5,1,19,28,77,0,20,32,228,0,0,6,50,178,255,0,0,0,6,40,7,16,0,0,2333,176,0,2,0,0,3,18,1,10,23,69,0,17,25,125,0,0,3,18,107,176,2,0,0,5,44,4,13,0,2,1267,255,0,0,0,0,6,50
Seahawks,49ers,12,9,9/17/2017,2017,2,-13.5,1,21,37,131,0,23,39,198,1,0,3,17,181,312,2,0,0,9,71,8,19,1,1,2218,248,1,0,0,1,2,10,1,11,19,159,0,15,27,99,0,1,2,10,89,248,0,0,1,6,66,2,12,0,0,1382,312,0,2,0,0,3,17
Steelers,Vikings,26,9,9/17/2017,2017,2,-8.5,1,22,32,102,0,23,35,243,2,0,2,10,233,335,0,0,0,10,72,3,13,0,0,2062,237,0,1,1,1,2,21,1,14,20,91,1,20,38,167,0,0,2,21,146,237,1,1,1,11,131,5,15,0,3,1538,335,0,0,0,0,2,10
Broncos,Cowboys,42,17,9/17/2017,2017,2,2.5,1,26,39,178,1,22,32,231,4,1,2,29,202,380,2,1,2,8,61,9,15,0,0,2030,268,2,0,0,2,2,10,1,16,14,40,0,30,50,238,2,2,2,10,228,268,0,0,2,8,69,3,14,2,5,1570,380,1,2,1,2,2,29
Colts,Cardinals,13,16,9/17/2017,2017,2,6.5,1,18,29,76,1,20,37,216,0,1,4,26,190,266,3,0,1,8,70,8,18,0,0,1989,389,1,1,0,1,4,26,1,17,25,83,0,19,36,332,1,1,4,26,306,389,1,0,1,6,41,6,15,0,1,1729,266,1,3,0,1,4,26
Raiders,Jets,45,20,9/17/2017,2017,2,-14,1,21,27,180,3,23,28,230,3,0,0,0,230,410,1,0,0,9,79,8,12,0,0,1862,271,0,2,2,2,4,21,1,17,25,126,0,16,24,166,2,0,4,21,145,271,2,2,2,5,47,7,12,0,0,1738,410,0,1,0,0,0,0
Buccaneers,Bears,29,7,9/17/2017,2017,2,-7,0,22,34,117,1,18,31,204,1,0,2,10,194,311,1,1,1,4,34,8,15,0,0,1991,310,2,2,2,4,1,11,1,19,16,20,0,31,45,301,1,2,1,11,290,310,2,2,4,8,59,7,14,0,2,1609,311,0,1,1,1,2,10
Ravens,Browns,24,10,9/17/2017,2017,2,-7.5,1,24,32,136,1,25,34,217,2,1,2,16,201,337,1,1,2,7,45,4,11,0,0,2004,386,4,2,1,5,3,7,1,20,21,93,0,20,42,300,1,4,3,7,293,386,2,1,5,11,65,2,12,1,2,1596,337,1,1,1,2,2,16
