home_team,away_team,home_score,away_score,week,home_spread,home_pass_completions,home_pass_attempts,home_passing_touchdowns,home_interceptions_thrown,home_net_passing_yards,home_total_yards,home_elo,away_pass_completions,away_pass_attempts,away_passing_touchdowns,away_interceptions_thrown,away_net_passing_yards,away_total_yards,away_elo
Bears,Packers,3,10,1,-3,26,45,0,1,208,254,1557.476,18,30,1,0,166,213,1532.109
Panthers,Rams,27,30,1,1.5,25,38,0,1,216,343,1509.894,23,39,1,1,183,349,1571.6
Eagles,Redskins,32,27,1,-10,28,39,3,0,313,436,1545.958,30,45,3,0,370,398,1430.362
Jets,Bills,16,17,1,-2.5,28,41,1,0,155,223,1421.038,24,37,1,2,242,370,1462.998
Vikings,Falcons,28,12,1,-3.5,8,10,1,0,97,269,1531.423,33,46,2,2,272,345,1474.105
Dolphins,Ravens,10,59,1,7,15,32,1,2,179,200,1380.449,23,26,6,0,378,643,1534.302
Jaguars,Chiefs,26,40,1,3.5,27,33,3,1,347,428,1471.362,25,34,3,0,378,491,1577.908
Browns,Titans,13,43,1,-5.5,25,39,1,3,244,346,1514.419,14,24,3,0,216,339,1489.737
Chargers,Colts,30,24,1,-6,25,34,3,1,310,435,1570.778,21,27,2,0,173,376,1470.814
Seahawks,Bengals,21,20,1,-9,14,20,2,0,161,233,1535.948,35,51,2,0,395,429,1459.57
Buccaneers,49ers,17,31,1,-1.5,20,36,1,3,174,295,1474.242,18,27,1,1,158,256,1469.443
Cowboys,Giants,35,17,1,-7,25,32,4,0,405,494,1528.68,33,48,1,0,319,470,1460.393
Cardinals,Lions,27,27,1,3,29,54,2,1,275,387,1397.315,27,45,3,0,361,477,1459.433
Patriots,Steelers,33,3,1,-5.5,25,37,3,0,366,465,1593.129,27,47,0,1,276,308,1542.941
Saints,Texans,30,28,1,-7,32,43,2,1,362,510,1587.095,20,30,3,1,234,414,1528.406
Raiders,Broncos,24,16,1,2.5,22,26,1,0,259,357,1410.342,21,31,1,0,249,344,1506.329
Panthers,Buccaneers,14,20,2,-6.5,24,50,0,0,304,343,1492.584960132376,16,25,1,0,189,289,1452.9519531668036
Ravens,Cardinals,23,17,2,-13,24,37,2,0,258,440,1546.566358005127,25,40,0,0,329,349,1401.0300882737563
Redskins,Cowboys,21,31,2,6.5,26,37,2,0,208,255,1416.102066551438,26,30,3,1,261,474,1545.6048781831578
Titans,Colts,17,19,2,-3,19,28,1,0,119,242,1512.226346026641,17,28,3,1,121,288,1455.6947247429805
Steelers,Seahawks,26,28,2,-4,20,34,2,1,180,261,1524.9535811991177,29,35,3,0,274,426,1552.4044523058371
Giants,Bills,14,28,2,1,26,45,1,2,241,370,1443.4681218168423,19,30,1,0,237,388,1481.47407665805
Bengals,49ers,17,41,2,-1,26,42,2,1,291,316,1443.113547694163,18,26,3,1,313,572,1490.7330468331963
Lions,Chargers,13,10,2,0,22,30,2,2,245,339,1455.7179117262438,21,36,0,1,287,424,1585.8972752570196
Packers,Vikings,21,16,2,-3,22,34,2,0,191,335,1554.6395353205485,14,32,1,2,223,421,1548.989628062562
Texans,Jaguars,13,12,2,-7,16,29,0,0,137,263,1510.919971618616,23,33,1,0,178,281,1456.6073835119626
Dolphins,Patriots,0,43,2,18,18,39,0,4,142,184,1368.184641994873,20,28,2,0,255,381,1611.1164188008822
Raiders,Chiefs,10,28,2,7,23,38,1,2,178,307,1437.0004913717808,30,44,4,0,433,464,1592.6626164880374
Rams,Saints,27,9,2,-1.5,19,28,1,0,265,380,1588.909039867624,20,35,0,1,187,244,1604.581028381384
Broncos,Bears,14,16,2,3,35,50,1,1,282,372,1479.6705086282193,16,27,0,0,120,273,1534.9454646794516
Falcons,Eagles,24,20,2,1,27,43,3,3,310,367,1456.5383719374381,28,48,1,2,237,286,1560.2179334485622
Jets,Browns,3,23,2,6.5,23,31,0,0,169,262,1402.56192334195,19,35,1,1,305,375,1491.929653973359
Jaguars,Titans,20,7,3,2,20,30,2,0,204,292,1438.8637094917665,23,40,0,0,249,340,1487.8392515975481
Bills,Bengals,21,17,3,-6,23,36,1,1,241,416,1500.1860072936736,20,36,1,2,239,306,1424.9739176532007
Eagles,Lions,24,27,3,-4,19,36,2,0,246,373,1533.1308667033993,18,32,1,0,201,288,1484.2376752395974
Patriots,Jets,30,14,3,-21,30,45,2,1,313,381,1619.435179340001,12,22,0,1,69,105,1386.8475060285944
Vikings,Raiders,34,14,3,-9,15,21,1,0,174,385,1528.331094509498,27,34,2,1,214,302,1424.826363903854
Chiefs,Ravens,33,28,3,-4.5,27,37,3,0,363,503,1604.8367439559643,22,43,0,0,249,452,1559.2505171235923
Colts,Falcons,27,24,3,-1,28,37,2,0,300,379,1480.0818191720734,29,34,3,1,304,397,1483.625438682601
Packers,Broncos,27,16,3,-7,17,29,1,0,235,312,1575.2980688736125,20,29,0,1,161,310,1461.9835797283683
Cowboys,Dolphins,31,6,3,-22.5,19,32,2,1,241,476,1559.120788795641,20,41,0,0,211,283,1359.865881455754
Buccaneers,Giants,31,32,3,-4.5,23,37,3,1,355,499,1476.3371484735806,23,36,2,0,312,384,1424.7561911812188
Cardinals,Panthers,20,38,3,-2,30,43,2,2,127,248,1388.345929155291,19,26,4,0,240,413,1469.199764825599
49ers,Steelers,24,20,3,-6.5,23,32,1,2,268,436,1508.8726768741585,14,27,2,1,160,241,1505.6093463435268
Seahawks,Saints,27,33,3,-5.5,32,50,2,0,406,515,1571.748687161428,19,27,2,0,177,365,1582.634410533803
Chargers,Texans,20,27,3,-3,31,46,2,0,293,366,1557.377511743666,25,34,3,0,337,376,1528.663645638812
Browns,Rams,13,20,3,4,18,36,1,1,175,270,1507.6440712867147,24,38,2,2,255,345,1610.8556577152049
Redskins,Bears,15,31,3,5,30,43,2,3,287,356,1402.5861559389548,25,31,3,1,208,298,1552.6323935793025
Packers,Eagles,27,34,4,-3.5,34,53,2,1,414,491,1589.6819573032603,16,27,3,0,160,336,1509.1949774735635
Falcons,Titans,10,24,4,-3.5,35,53,0,0,364,422,1462.411259616013,18,27,3,0,227,365,1463.898482307831
Giants,Redskins,24,3,4,-3,23,31,1,2,225,389,1448.851186165616,15,28,0,4,121,176,1390.1306582716509
Dolphins,Chargers,10,30,4,14.5,17,24,1,1,161,233,1349.7423341340902,25,31,2,0,311,390,1534.645904218804
Colts,Raiders,24,31,4,-5,24,46,3,1,265,346,1501.2959982386615,21,31,2,0,189,377,1409.9037498104192
Texans,Panthers,10,16,4,-5.5,21,34,0,1,128,264,1551.3952531636742,24,34,0,0,203,297,1485.399079753496
Lions,Chiefs,30,34,4,7,21,34,3,0,261,447,1508.1735644694331,24,42,0,0,315,438,1623.0970855707958
Ravens,Browns,25,40,4,-7,24,34,3,2,222,395,1540.9901755087608,20,31,1,1,337,530,1492.7052187169668
Bills,Patriots,10,16,4,7,22,44,0,4,240,375,1516.7096802640815,18,39,0,1,150,224,1628.1583243316975
Rams,Buccaneers,40,55,4,-9.5,45,68,2,3,490,518,1625.7945102849528,28,41,4,1,376,464,1452.2421534891835
Cardinals,Seahawks,10,27,4,5.5,22,32,0,1,206,321,1372.1466142273941,22,28,1,0,225,340,1551.4064361839976
Bears,Vikings,16,6,4,-1,24,33,1,0,194,269,1565.0878912466064,27,36,0,0,182,222,1543.2537086029326
Broncos,Jaguars,24,26,4,-2.5,22,38,3,1,303,371,1447.5996912987205,19,33,2,0,186,455,1462.8044787814836
Saints,Cowboys,12,10,4,2.5,23,30,0,1,149,266,1602.9766615112335,22,33,0,1,212,257,1569.2443361173048
Steelers,Bengals,27,3,4,-3.5,27,31,2,0,260,326,1484.8065855694515,21,37,0,2,102,175,1408.4502446827928
Seahawks,Rams,30,29,5,-1.5,17,23,4,0,262,429,1562.440484417886,29,49,1,1,395,477,1595.097915736006
Panthers,Jaguars,34,27,5,-3.5,17,31,1,0,160,445,1510.3407827925075,26,45,2,1,358,507,1482.886044211288
Redskins,Patriots,7,33,5,16.5,18,27,0,1,75,220,1372.646482140382,28,42,3,1,312,432,1642.6439668953742
Titans,Bills,7,14,5,-3,13,22,0,0,150,252,1484.8085908658622,23,32,2,1,204,313,1502.2240377004048
Steelers,Ravens,23,26,5,3,21,31,1,1,192,269,1501.2642857482338,19,28,1,3,139,277,1517.0903399585875
Bengals,Cardinals,23,26,5,-3,27,38,2,0,262,370,1391.9925445040105,20,32,0,0,248,514,1361.1125659935058
Texans,Falcons,53,32,5,-4,28,33,5,0,426,592,1526.4535501246626,32,46,3,1,316,373,1441.5011510579818
Saints,Buccaneers,31,24,5,-3,28,36,4,1,345,457,1621.9441656694005,15,27,2,0,158,252,1482.9387480381304
Giants,Vikings,10,28,5,5.5,21,38,1,1,147,211,1466.3353622968848,22,27,2,0,279,490,1523.571694414698
Raiders,Bears,24,21,5,6.5,25,32,0,0,229,398,1436.3037789943555,22,30,2,2,194,236,1584.7699054348411
Eagles,Jets,31,6,5,-14,17,29,1,0,181,265,1534.9746424633179,15,26,0,2,61,128,1378.1243610368979
Chargers,Broncos,13,20,5,-4.5,32,48,0,2,211,246,1545.417699528071,14,20,1,1,159,350,1427.518125868916
Cowboys,Packers,24,34,5,-3.5,27,44,2,3,441,563,1550.2768319591378,22,34,0,0,215,335,1563.902292313506
Chiefs,Colts,13,19,5,-11,22,39,1,0,288,324,1637.3935010834207,18,29,0,1,151,331,1474.8959690547251
49ers,Browns,31,3,5,-5,20,29,2,0,171,446,1529.6754376482338,9,24,0,2,78,180,1516.60505426714
Patriots,Giants,35,14,6,-17,31,41,0,1,313,427,1649.9719630150555,15,31,1,3,161,213,1448.7639297564747
Buccaneers,Panthers,26,37,6,2,30,54,1,5,365,407,1469.9192889114668,20,32,2,0,209,268,1529.6847853403076
Dolphins,Redskins,16,17,6,6,27,43,1,2,187,271,1338.9705388248233,13,25,2,0,166,311,1365.3184860207007
Vikings,Eagles,38,20,6,-3.5,22,29,4,1,325,447,1541.143126955108,26,41,2,2,292,400,1547.089724602069
Chiefs,Texans,24,31,6,-3.5,19,35,3,1,256,309,1607.230286873464,30,42,1,2,280,472,1542.4187247092502
Jaguars,Saints,6,13,6,-2.5,14,29,0,1,151,226,1463.542041663488,24,36,1,0,222,326,1634.963624796064
Browns,Seahawks,28,32,6,-1,22,37,1,3,249,406,1496.3946931302698,23,33,2,0,284,454,1585.408600116004
Ravens,Bengals,23,17,6,-10.5,21,33,0,0,228,497,1537.1344290480135,21,39,0,1,217,250,1369.1309696489989
Rams,49ers,7,20,6,-3,13,24,0,0,56,165,1572.129800037888,24,33,0,1,232,321,1549.885798785104
Cardinals,Falcons,34,33,6,3,27,37,3,0,340,442,1383.9741408485174,30,36,4,0,341,444,1425.5359764733942
Jets,Cowboys,24,22,6,7,23,32,2,1,326,372,1366.0092788981467,28,40,0,0,269,398,1530.0999717833406
Broncos,Titans,16,0,6,-1,18,28,0,1,167,270,1455.3828170724282,20,34,0,3,165,204,1464.8603495279967
Chargers,Steelers,17,24,6,-6,26,44,2,2,316,348,1517.5530083245587,15,20,1,1,132,256,1481.2201966588077
Packers,Lions,23,22,6,-3.5,24,39,2,1,277,437,1584.0791524893032,18,32,0,0,243,299,1493.8771489568082
Broncos,Chiefs,6,30,7,3,21,34,0,0,134,205,1476.9555241804874,20,30,2,0,191,271,1582.3577064841213
Bills,Dolphins,31,21,7,-17,16,26,2,0,188,305,1522.1722790382703,23,35,1,1,272,381,1319.560038160116
Bengals,Jaguars,17,27,7,4.5,22,43,1,3,258,291,1357.5617427752861,15,32,1,0,244,460,1452.1370185146295
Lions,Vikings,30,42,7,2.5,30,45,4,1,352,433,1478.2099343827529,24,34,4,0,337,503,1562.5025212226144
Packers,Raiders,42,24,7,-6,25,31,5,0,421,481,1599.7463670633585,24,31,3,1,329,484,1465.768438995033
Falcons,Rams,10,37,7,3,22,33,1,1,186,224,1402.0357749483453,23,38,2,0,291,381,1549.787143026428
Colts,Texans,30,23,7,-1.5,26,40,4,0,321,388,1505.059183264682,23,34,1,2,291,391,1567.2913050985928
Redskins,49ers,0,9,7,10,9,12,0,0,50,154,1384.728986685408,12,21,0,1,146,283,1572.2284557965638
Giants,Cardinals,21,27,7,-3.5,22,35,1,1,156,263,1438.726515947658,14,21,0,0,89,245,1407.4743423735663
Titans,Chargers,23,20,7,-3,24,30,2,1,306,403,1443.2876424199376,24,38,2,0,326,365,1494.3649196599554
Bears,Saints,25,36,7,-4.5,34,54,2,0,251,252,1555.3052454341637,23,38,2,0,273,424,1646.3686479449225
Seahawks,Ravens,16,30,7,-3,20,41,1,1,241,347,1601.1430538589314,9,20,0,0,141,340,1548.7036559217263
