home_team,away_team,home_score,away_score,date,year,week,home_spread,home_games_played,home_first_downs,home_rush_attempts,home_rushing_yards,home_rushing_touchdowns,home_pass_completions,home_pass_attempts,home_passing_yards,home_passing_touchdowns,home_interceptions_thrown,home_times_sacked,home_sacked_yards,home_net_passing_yards,home_total_yards,home_fumbles,home_fumbles_lost,home_turnovers,home_penalties,home_penalty_yards,home_third_down_conversions,home_third_downs,home_fourth_down_conversions,home_fourth_downs,home_time_of_possession,home_yards_allowed,home_interceptions,home_fumbles_forced,home_fumbles_recovered,home_turnovers_forced,home_sacks,home_sack_yards_forced,away_games_played,away_first_downs,away_rush_attempts,away_rushing_yards,away_rushing_touchdowns,away_pass_completions,away_pass_attempts,away_passing_yards,away_passing_touchdowns,away_interceptions_thrown,away_times_sacked,away_sacked_yards,away_net_passing_yards,away_total_yards,away_fumbles,away_fumbles_lost,away_turnovers,away_penalties,away_penalty_yards,away_third_down_conversions,away_third_downs,away_fourth_down_conversions,away_fourth_downs,away_time_of_possession,away_yards_allowed,away_interceptions,away_fumbles_forced,away_fumbles_recovered,away_turnovers_forced,away_sacks,away_sack_yards_forced
Bears,Chiefs,20,17,9/12/1999,1999,1,3.0,0,22,28,81,0,31,47,322,2,0,1,15,307,388,2,2,2,6,44,10,18,0,0,2083,349,1,1,0,1,1,5,0,17,17,71,0,20,42,283,1,1,1,5,278,349,1,0,1,7,40,4,12,0,2,1517,388,0,2,2,2,1,15
Jaguars,49ers,41,3,9/12/1999,1999,1,-5.5,0,18,34,97,1,22,31,265,1,0,2,18,247,344,0,0,0,6,57,2,12,0,1,2102,203,3,3,2,5,4,32,0,11,20,94,0,14,35,141,0,3,4,32,109,203,3,2,5,2,10,1,14,1,2,1498,344,0,0,0,0,2,18
Packers,Raiders,28,24,9/12/1999,1999,1,-9.0,0,25,20,91,0,28,47,333,4,3,3,15,318,409,1,1,4,7,47,6,12,0,0,1781,363,1,2,0,1,4,17,0,20,32,153,3,16,31,227,0,1,4,17,210,363,2,0,1,6,55,6,13,0,0,1819,409,3,1,1,4,3,15
Rams,Ravens,27,10,9/12/1999,1999,1,0.0,0,23,25,59,0,28,44,309,3,2,3,25,284,343,1,1,3,7,65,7,14,0,0,2245,223,2,1,0,2,5,25,0,13,15,60,0,17,40,188,1,2,5,25,163,223,1,0,2,11,106,4,14,0,0,1355,343,2,1,1,3,3,25
Jets,Patriots,28,30,9/12/1999,1999,1,-7.0,0,19,24,106,0,20,36,289,3,3,4,32,257,363,3,1,4,6,40,7,13,1,2,1859,396,1,2,1,2,2,14,0,16,27,70,1,21,30,340,1,1,2,14,326,396,2,1,2,6,43,7,14,0,1,1741,363,3,3,1,4,4,32
Colts,Bills,31,14,9/12/1999,1999,1,3.0,0,20,29,109,1,21,33,284,2,2,0,0,284,393,1,1,3,8,75,8,15,0,0,2017,321,2,1,1,3,5,26,0,19,15,47,0,22,42,300,1,2,5,26,274,321,1,1,3,12,90,4,12,0,0,1583,393,2,1,1,3,0,0
Eagles,Cardinals,24,25,9/12/1999,1999,1,3.0,0,13,26,138,1,12,26,91,2,2,4,24,67,205,3,2,4,7,54,2,13,0,0,1509,344,3,3,1,4,1,8,0,23,36,78,1,25,48,274,1,3,1,8,266,344,3,1,4,8,40,7,18,1,1,2091,205,2,3,2,4,4,24
Buccaneers,Giants,13,17,9/12/1999,1999,1,-5.5,0,15,27,77,0,18,42,188,1,4,2,11,177,254,2,1,5,3,20,4,17,0,1,1979,107,0,0,0,0,2,12,0,4,25,28,0,12,24,91,0,0,2,12,79,107,0,0,0,9,59,1,13,0,0,1621,254,4,2,1,5,2,11
Seahawks,Lions,20,28,9/12/1999,1999,1,-9.5,0,16,16,31,0,20,30,202,2,0,6,28,174,205,4,2,2,5,34,1,10,0,2,1515,369,1,1,0,1,5,14,0,19,36,167,0,16,26,216,3,1,5,14,202,369,1,0,1,11,123,5,14,0,0,2085,205,0,4,2,2,6,28
Browns,Steelers,0,43,9/12/1999,1999,1,6.0,0,2,9,9,0,6,16,52,0,2,3,21,31,40,2,2,4,4,23,0,7,0,0,731,464,0,0,0,0,1,12,0,33,57,217,2,24,32,259,3,0,1,12,247,464,0,0,0,4,26,15,21,0,1,2869,40,2,2,2,4,3,21
