Home,Away,Home Points,Away Points
Raptors,Suns,112,105
Magic,Wizards,139,120
Grizzlies,Jazz,105,91
Pistons,Lakers,107,133
Timberwolves,Thunder,106,103
Heat,Bucks,124,131
Kings,Warriors,124,123
Mavericks,Rockets,121,115
Knicks,Hornets,115,91
Nets,Raptors,115,103
Celtics,Bulls,124,97
Cavaliers,Hawks,128,105
Jazz,Pelicans,114,112
76ers,Lakers,138,94
Pacers,Trail Blazers,110,114
Pistons,Wizards,107,126
Clippers,Nuggets,104,113
Knicks,Suns,113,116
Bucks,Trail Blazers,108,102
Grizzlies,Timberwolves,97,119
Nuggets,Spurs,132,120
Cavaliers,Raptors,105,102
Magic,Hornets,130,117
Nets,Bulls,118,109
Celtics,Hawks,113,103
Thunder,76ers,123,127
Jazz,Pelicans,105,100
Clippers,Mavericks,107,88
Cavaliers,Lakers,115,121
Nets,Heat,112,97
Wizards,Hawks,108,136
Timberwolves,Kings,111,124
Bucks,Wizards,131,128
Knicks,Heat,100,98
Grizzlies,Suns,89,110
Clippers,Pelicans,106,116
Warriors,Spurs,118,112
Pacers,Pistons,136,113
Rockets,Nuggets,105,86
Raptors,Bulls,121,108
Magic,Celtics,113,96
Trail Blazers,Jazz,121,105
Pelicans,Kings,117,112
Timberwolves,76ers,112,99
Spurs,Clippers,102,109
Pacers,Raptors,131,132
Rockets,Grizzlies,111,91
Suns,Warriors,123,115
Magic,Nuggets,124,119
Lakers,Mavericks,101,104
Cavaliers,Heat,96,129
Thunder,Bulls,116,102
Hornets,Wizards,117,114
Celtics,Bucks,119,116
Hawks,Nets,133,131
Suns,Trail Blazers,120,107
Magic,Raptors,126,107
Lakers,Jazz,131,99
76ers,Cavaliers,108,110
Hawks,Pacers,152,157
Pelicans,Kings,129,93
Timberwolves,Knicks,117,100
Wizards,Bucks,129,142
Spurs,Clippers,99,124
Warriors,Rockets,121,116
Pistons,Nuggets,103,107
Bulls,Heat,100,118
Hornets,Celtics,110,107
Jazz,Suns,113,116
Trail Blazers,Thunder,91,134
Pacers,Magic,116,128
Lakers,Rockets,105,104
Raptors,Pistons,142,113
Mavericks,Kings,113,129
Cavaliers,Nuggets,121,109
Nets,76ers,99,121
Grizzlies,Celtics,100,102
Pelicans,Timberwolves,120,121
Spurs,Grizzlies,108,120
Warriors,Thunder,111,118
Bucks,Mavericks,132,125
Bulls,Heat,102,97
Hornets,Knicks,108,122
Spurs,Kings,120,129
Jazz,Suns,128,131
Wizards,Knicks,99,120
Trail Blazers,Lakers,95,107
Clippers,Rockets,106,100
Pelicans,Nuggets,115,110
Cavaliers,Pistons,108,100
Bulls,Magic,97,103
Hornets,Bucks,99,130
Raptors,Celtics,105,108
Hawks,76ers,116,126
Warriors,Thunder,109,128
Heat,Nets,122,115
Suns,Timberwolves,133,115
Raptors,Bucks,112,128
Lakers,Kings,110,125
Wizards,Mavericks,117,130
Trail Blazers,Cavaliers,95,109
Bulls,Magic,94,96
76ers,Celtics,107,117
Hawks,Knicks,114,116
Jazz,Trail Blazers,115,99
Thunder,Spurs,123,87
Lakers,Grizzlies,134,107
76ers,Pacers,126,132
Warriors,Timberwolves,101,104
Nuggets,Clippers,111,108
Pelicans,Mavericks,131,110
Hornets,Heat,105,111
Nets,Magic,124,104
Pistons,Hawks,120,126
Raptors,Wizards,111,107
Kings,Cavaliers,132,120
Bucks,Bulls,118,109
Celtics,Knicks,114,98
Suns,Thunder,99,111
Spurs,Heat,113,118
Lakers,Trail Blazers,116,110
Clippers,Grizzlies,101,105
76ers,Pacers,137,126
Warriors,Timberwolves,110,116
Rockets,Nuggets,107,104
Pelicans,Mavericks,124,136
Bulls,Pistons,119,108
Knicks,Hornets,129,107
Nets,Wizards,102,94
Magic,Bucks,112,97
Warriors,Cavaliers,110,118
Celtics,Raptors,117,94
Hawks,Heat,109,117
Kings,Thunder,105,98
Spurs,Timberwolves,110,117
Grizzlies,Jazz,121,127
Suns,Lakers,119,122
Rockets,Pelicans,104,101
Pistons,76ers,106,114
Mavericks,Clippers,144,126
Wizards,Hornets,117,124
Celtics,Nets,121,107
Pacers,Bucks,126,124
Magic,Hawks,119,120
Kings,Trail Blazers,110,107
Knicks,Spurs,126,105
Timberwolves,Pelicans,122,101
Grizzlies,Heat,102,108
Pacers,Jazz,134,118
Rockets,Lakers,128,94
Bucks,Pistons,120,118
Nuggets,Warriors,108,105
Mavericks,Raptors,116,127
Thunder,Cavaliers,128,120
Bulls,Suns,104,105
Hornets,Wizards,116,132
Nets,Clippers,100,93
76ers,Celtics,106,103
76ers,Wizards,146,128
Heat,Lakers,108,107
Knicks,Clippers,111,97
Pacers,Spurs,152,111
Rockets,Kings,122,97
Pistons,Warriors,109,120
Nuggets,Pelicans,134,116
Magic,Mavericks,102,117
Bulls,Jazz,130,113
Nets,Bucks,125,129
Timberwolves,Celtics,103,99
Thunder,Hawks,126,117
Spurs,Raptors,105,111
Trail Blazers,Grizzlies,100,112
Pistons,Suns,106,120
Cavaliers,Warriors,115,104
Mavericks,Hornets,124,118
76ers,Suns,112,100
Timberwolves,Jazz,123,95
Magic,Lakers,120,101
Rockets,Kings,107,89
Nuggets,Bulls,123,101
Pacers,Hornets,124,125
Nets,Celtics,114,124
Pelicans,Hawks,105,123
Bucks,Knicks,110,105
Heat,Wizards,121,114
Trail Blazers,Grizzlies,104,102
Thunder,Warriors,139,141
Nuggets,Mavericks,125,114
Pacers,Cavaliers,121,116
Bulls,Nets,107,109
Suns,Spurs,121,132
76ers,Raptors,114,99
Jazz,Magic,113,115
Pelicans,Pistons,125,116
Thunder,Pelicans,106,110
Raptors,Bucks,130,111
Jazz,Grizzlies,133,109
Lakers,Clippers,118,113
Warriors,Kings,102,101
Pistons,Trail Blazers,101,110
Timberwolves,Nuggets,110,89
Knicks,Cavaliers,89,95
Mavericks,Bulls,114,105
