Best parameters set found on development set:
-0.21326 (+/-0.007) for {'max_depth': 2, 'max_features': 7, 'n_estimators': 1000, 'random_state': 42}

Grid scores on development set:
-0.21326 (+/-0.007) for {'max_depth': 2, 'max_features': 7, 'n_estimators': 1000, 'random_state': 42}
-0.21327 (+/-0.007) for {'max_depth': 2, 'max_features': 7, 'n_estimators': 500, 'random_state': 42}
-0.21332 (+/-0.007) for {'max_depth': 3, 'max_features': 6, 'n_estimators': 1000, 'random_state': 42}
-0.21332 (+/-0.007) for {'max_depth': 2, 'max_features': 6, 'n_estimators': 1000, 'random_state': 42}
-0.21332 (+/-0.007) for {'max_depth': 3, 'max_features': 5, 'n_estimators': 1000, 'random_state': 42}
-0.21335 (+/-0.007) for {'max_depth': 2, 'max_features': 6, 'n_estimators': 500, 'random_state': 42}
-0.21336 (+/-0.007) for {'max_depth': 3, 'max_features': 6, 'n_estimators': 500, 'random_state': 42}
-0.21336 (+/-0.007) for {'max_depth': 3, 'max_features': 5, 'n_estimators': 500, 'random_state': 42}
-0.21338 (+/-0.007) for {'max_depth': 3, 'max_features': 7, 'n_estimators': 1000, 'random_state': 42}
-0.21341 (+/-0.007) for {'max_depth': 3, 'max_features': 7, 'n_estimators': 500, 'random_state': 42}
-0.21353 (+/-0.006) for {'max_depth': 3, 'max_features': 4, 'n_estimators': 500, 'random_state': 42}
-0.21353 (+/-0.006) for {'max_depth': 3, 'max_features': 4, 'n_estimators': 1000, 'random_state': 42}
-0.21358 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 100, 'n_estimators': 500, 'random_state': 42}
-0.21358 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 100, 'n_estimators': 1000, 'random_state': 42}
-0.21359 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 99, 'n_estimators': 500, 'random_state': 42}
-0.21360 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 99, 'n_estimators': 1000, 'random_state': 42}
-0.21361 (+/-0.007) for {'max_depth': 4, 'max_features': 4, 'n_estimators': 1000, 'random_state': 42}
-0.21362 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 97, 'n_estimators': 1000, 'random_state': 42}
-0.21362 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 97, 'n_estimators': 500, 'random_state': 42}
-0.21362 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 98, 'n_estimators': 1000, 'random_state': 42}
-0.21362 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 98, 'n_estimators': 500, 'random_state': 42}
-0.21362 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 96, 'n_estimators': 1000, 'random_state': 42}
-0.21363 (+/-0.007) for {'max_depth': 4, 'max_features': 5, 'n_estimators': 500, 'random_state': 42}
-0.21363 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 100, 'n_estimators': 1000, 'random_state': 42}
-0.21364 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 95, 'n_estimators': 1000, 'random_state': 42}
-0.21364 (+/-0.007) for {'max_depth': 4, 'max_features': 5, 'n_estimators': 1000, 'random_state': 42}
-0.21364 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 96, 'n_estimators': 500, 'random_state': 42}
-0.21364 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 99, 'n_estimators': 1000, 'random_state': 42}
-0.21365 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 95, 'n_estimators': 500, 'random_state': 42}
-0.21365 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 94, 'n_estimators': 1000, 'random_state': 42}
-0.21365 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 98, 'n_estimators': 1000, 'random_state': 42}
-0.21366 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 97, 'n_estimators': 1000, 'random_state': 42}
-0.21366 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 92, 'n_estimators': 500, 'random_state': 42}
-0.21366 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 91, 'n_estimators': 500, 'random_state': 42}
-0.21366 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 96, 'n_estimators': 1000, 'random_state': 42}
-0.21366 (+/-0.007) for {'max_depth': 4, 'max_features': 4, 'n_estimators': 500, 'random_state': 42}
-0.21366 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 94, 'n_estimators': 500, 'random_state': 42}
-0.21367 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 91, 'n_estimators': 1000, 'random_state': 42}
-0.21367 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 95, 'n_estimators': 1000, 'random_state': 42}
-0.21368 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 92, 'n_estimators': 1000, 'random_state': 42}
-0.21368 (+/-0.007) for {'max_features': 4, 'min_samples_leaf': 93, 'n_estimators': 1000, 'random_state': 42}
-0.21368 (+/-0.006) for {'max_depth': 2, 'max_features': 5, 'n_estimators': 1000, 'random_state': 42}
-0.21368 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 100, 'n_estimators': 500, 'random_state': 42}
-0.21368 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 94, 'n_estimators': 1000, 'random_state': 42}
