Best parameters set found on development set:
0.72434 (+/-0.091) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 51, 'p': 2, 'weights': 'distance'}

Grid scores on development set:
0.72434 (+/-0.091) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 51, 'p': 2, 'weights': 'distance'}
0.72434 (+/-0.091) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 51, 'p': 2, 'weights': 'distance'}
0.72434 (+/-0.091) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 51, 'p': 2, 'weights': 'distance'}
0.72395 (+/-0.096) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 65, 'p': 2, 'weights': 'distance'}
0.72395 (+/-0.096) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 65, 'p': 2, 'weights': 'distance'}
0.72395 (+/-0.096) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 65, 'p': 2, 'weights': 'distance'}
0.72357 (+/-0.094) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 59, 'p': 2, 'weights': 'distance'}
0.72357 (+/-0.094) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 59, 'p': 2, 'weights': 'distance'}
0.72357 (+/-0.094) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 59, 'p': 2, 'weights': 'distance'}
0.72338 (+/-0.092) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 53, 'p': 2, 'weights': 'distance'}
0.72338 (+/-0.098) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 61, 'p': 2, 'weights': 'distance'}
0.72338 (+/-0.092) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 53, 'p': 2, 'weights': 'distance'}
0.72338 (+/-0.098) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 61, 'p': 2, 'weights': 'distance'}
0.72338 (+/-0.092) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 53, 'p': 2, 'weights': 'distance'}
0.72338 (+/-0.098) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 61, 'p': 2, 'weights': 'distance'}
0.72318 (+/-0.099) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 63, 'p': 2, 'weights': 'distance'}
0.72318 (+/-0.099) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 63, 'p': 2, 'weights': 'distance'}
0.72318 (+/-0.099) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 63, 'p': 2, 'weights': 'distance'}
0.72280 (+/-0.090) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 50, 'p': 2, 'weights': 'distance'}
0.72280 (+/-0.093) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 54, 'p': 2, 'weights': 'distance'}
0.72280 (+/-0.090) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 50, 'p': 2, 'weights': 'distance'}
0.72280 (+/-0.090) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 50, 'p': 2, 'weights': 'distance'}
0.72280 (+/-0.093) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 54, 'p': 2, 'weights': 'distance'}
0.72261 (+/-0.097) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 58, 'p': 2, 'weights': 'distance'}
0.72261 (+/-0.094) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 54, 'p': 2, 'weights': 'distance'}
0.72261 (+/-0.097) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 58, 'p': 2, 'weights': 'distance'}
0.72261 (+/-0.097) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 58, 'p': 2, 'weights': 'distance'}
0.72241 (+/-0.094) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 57, 'p': 2, 'weights': 'distance'}
0.72241 (+/-0.094) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 57, 'p': 2, 'weights': 'distance'}
0.72241 (+/-0.094) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 57, 'p': 2, 'weights': 'distance'}
0.72222 (+/-0.090) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 45, 'p': 2, 'weights': 'distance'}
0.72222 (+/-0.090) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 45, 'p': 2, 'weights': 'distance'}
0.72222 (+/-0.090) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 45, 'p': 2, 'weights': 'distance'}
0.72184 (+/-0.091) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 49, 'p': 2, 'weights': 'distance'}
0.72184 (+/-0.091) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 49, 'p': 2, 'weights': 'distance'}
0.72184 (+/-0.091) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 49, 'p': 2, 'weights': 'distance'}
