Best parameters set found on development set:
-0.17370 (+/-0.060) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 70, 'p': 2, 'weights': 'distance'}

Grid scores on development set:
-0.17370 (+/-0.060) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 70, 'p': 2, 'weights': 'distance'}
-0.17370 (+/-0.061) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 67, 'p': 2, 'weights': 'distance'}
-0.17370 (+/-0.061) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 67, 'p': 2, 'weights': 'distance'}
-0.17370 (+/-0.060) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 70, 'p': 2, 'weights': 'distance'}
-0.17370 (+/-0.060) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 70, 'p': 2, 'weights': 'distance'}
-0.17370 (+/-0.061) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 67, 'p': 2, 'weights': 'distance'}
-0.17372 (+/-0.060) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 69, 'p': 2, 'weights': 'distance'}
-0.17372 (+/-0.060) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 69, 'p': 2, 'weights': 'distance'}
-0.17372 (+/-0.060) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 69, 'p': 2, 'weights': 'distance'}
-0.17376 (+/-0.061) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 66, 'p': 2, 'weights': 'distance'}
-0.17376 (+/-0.061) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 66, 'p': 2, 'weights': 'distance'}
-0.17376 (+/-0.061) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 66, 'p': 2, 'weights': 'distance'}
-0.17377 (+/-0.061) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 63, 'p': 2, 'weights': 'distance'}
-0.17377 (+/-0.061) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 63, 'p': 2, 'weights': 'distance'}
-0.17378 (+/-0.061) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 63, 'p': 2, 'weights': 'distance'}
-0.17378 (+/-0.061) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 64, 'p': 2, 'weights': 'distance'}
-0.17378 (+/-0.061) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 64, 'p': 2, 'weights': 'distance'}
-0.17378 (+/-0.061) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 64, 'p': 2, 'weights': 'distance'}
-0.17380 (+/-0.061) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 65, 'p': 2, 'weights': 'distance'}
-0.17380 (+/-0.061) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 65, 'p': 2, 'weights': 'distance'}
-0.17380 (+/-0.061) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 65, 'p': 2, 'weights': 'distance'}
-0.17380 (+/-0.061) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 68, 'p': 2, 'weights': 'distance'}
-0.17380 (+/-0.061) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 68, 'p': 2, 'weights': 'distance'}
-0.17381 (+/-0.061) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 68, 'p': 2, 'weights': 'distance'}
-0.17382 (+/-0.061) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 59, 'p': 2, 'weights': 'distance'}
-0.17382 (+/-0.061) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 59, 'p': 2, 'weights': 'distance'}
-0.17382 (+/-0.061) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 59, 'p': 2, 'weights': 'distance'}
-0.17384 (+/-0.061) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 60, 'p': 2, 'weights': 'distance'}
-0.17385 (+/-0.061) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 60, 'p': 2, 'weights': 'distance'}
-0.17385 (+/-0.061) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 60, 'p': 2, 'weights': 'distance'}
-0.17390 (+/-0.061) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 62, 'p': 2, 'weights': 'distance'}
-0.17390 (+/-0.061) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 62, 'p': 2, 'weights': 'distance'}
-0.17390 (+/-0.061) for {'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 62, 'p': 2, 'weights': 'distance'}
-0.17393 (+/-0.061) for {'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 61, 'p': 2, 'weights': 'distance'}
-0.17393 (+/-0.061) for {'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 61, 'p': 2, 'weights': 'distance'}
