Best parameters set found on development set:
0.68647 (+/-0.036) for {'max_depth': 9, 'max_features': 5, 'n_estimators': 1000, 'random_state': 42}

Grid scores on development set:
0.68647 (+/-0.036) for {'max_depth': 9, 'max_features': 5, 'n_estimators': 1000, 'random_state': 42}
0.68551 (+/-0.036) for {'max_depth': 9, 'max_features': 7, 'n_estimators': 1000, 'random_state': 42}
0.68531 (+/-0.030) for {'max_depth': 9, 'max_features': 3, 'n_estimators': 1000, 'random_state': 42}
0.68512 (+/-0.030) for {'max_depth': 9, 'max_features': 4, 'n_estimators': 1000, 'random_state': 42}
0.68493 (+/-0.033) for {'max_depth': 9, 'max_features': 6, 'n_estimators': 1000, 'random_state': 42}
0.68454 (+/-0.024) for {'max_depth': 9, 'max_features': 3, 'n_estimators': 500, 'random_state': 42}
0.68454 (+/-0.034) for {'max_depth': 9, 'max_features': 5, 'n_estimators': 500, 'random_state': 42}
0.68435 (+/-0.034) for {'max_depth': 9, 'max_features': 2, 'n_estimators': 500, 'random_state': 42}
0.68416 (+/-0.037) for {'max_depth': 9, 'max_features': 7, 'n_estimators': 500, 'random_state': 42}
0.68378 (+/-0.038) for {'max_depth': 9, 'max_features': 6, 'n_estimators': 500, 'random_state': 42}
0.68339 (+/-0.030) for {'max_depth': 9, 'max_features': 4, 'n_estimators': 500, 'random_state': 42}
0.68301 (+/-0.035) for {'max_depth': 9, 'max_features': 2, 'n_estimators': 1000, 'random_state': 42}
0.68070 (+/-0.031) for {'max_depth': 9, 'max_features': 1, 'n_estimators': 500, 'random_state': 42}
0.67801 (+/-0.027) for {'max_depth': 8, 'max_features': 4, 'n_estimators': 1000, 'random_state': 42}
0.67762 (+/-0.032) for {'max_depth': 8, 'max_features': 4, 'n_estimators': 500, 'random_state': 42}
0.67762 (+/-0.026) for {'max_depth': 8, 'max_features': 5, 'n_estimators': 500, 'random_state': 42}
0.67743 (+/-0.038) for {'max_depth': 9, 'max_features': 1, 'n_estimators': 1000, 'random_state': 42}
0.67686 (+/-0.028) for {'max_depth': 8, 'max_features': 6, 'n_estimators': 500, 'random_state': 42}
0.67666 (+/-0.030) for {'max_depth': 8, 'max_features': 3, 'n_estimators': 500, 'random_state': 42}
0.67647 (+/-0.027) for {'max_depth': 8, 'max_features': 6, 'n_estimators': 1000, 'random_state': 42}
0.67628 (+/-0.022) for {'max_depth': 8, 'max_features': 2, 'n_estimators': 500, 'random_state': 42}
0.67609 (+/-0.029) for {'max_depth': 8, 'max_features': 5, 'n_estimators': 1000, 'random_state': 42}
0.67570 (+/-0.031) for {'max_depth': 8, 'max_features': 3, 'n_estimators': 1000, 'random_state': 42}
0.67512 (+/-0.029) for {'max_depth': 8, 'max_features': 2, 'n_estimators': 1000, 'random_state': 42}
0.67397 (+/-0.031) for {'max_depth': 8, 'max_features': 7, 'n_estimators': 500, 'random_state': 42}
0.67378 (+/-0.029) for {'max_depth': 8, 'max_features': 7, 'n_estimators': 1000, 'random_state': 42}
0.67301 (+/-0.030) for {'max_depth': 8, 'max_features': 1, 'n_estimators': 1000, 'random_state': 42}
0.67205 (+/-0.031) for {'max_depth': 8, 'max_features': 1, 'n_estimators': 500, 'random_state': 42}
0.66859 (+/-0.016) for {'max_depth': 7, 'max_features': 2, 'n_estimators': 500, 'random_state': 42}
0.66859 (+/-0.031) for {'max_depth': 7, 'max_features': 3, 'n_estimators': 1000, 'random_state': 42}
0.66859 (+/-0.024) for {'max_depth': 7, 'max_features': 5, 'n_estimators': 1000, 'random_state': 42}
0.66744 (+/-0.024) for {'max_depth': 7, 'max_features': 3, 'n_estimators': 500, 'random_state': 42}
0.66686 (+/-0.024) for {'max_depth': 7, 'max_features': 4, 'n_estimators': 1000, 'random_state': 42}
0.66667 (+/-0.021) for {'max_depth': 7, 'max_features': 5, 'n_estimators': 500, 'random_state': 42}
0.66551 (+/-0.018) for {'max_depth': 7, 'max_features': 2, 'n_estimators': 1000, 'random_state': 42}
0.66532 (+/-0.024) for {'max_depth': 7, 'max_features': 4, 'n_estimators': 500, 'random_state': 42}
0.66532 (+/-0.029) for {'max_depth': 7, 'max_features': 6, 'n_estimators': 1000, 'random_state': 42}
0.66474 (+/-0.027) for {'max_depth': 7, 'max_features': 6, 'n_estimators': 500, 'random_state': 42}
0.66417 (+/-0.023) for {'max_depth': 7, 'max_features': 7, 'n_estimators': 1000, 'random_state': 42}
0.66398 (+/-0.028) for {'max_depth': 7, 'max_features': 7, 'n_estimators': 500, 'random_state': 42}
0.66109 (+/-0.015) for {'max_depth': 6, 'max_features': 2, 'n_estimators': 500, 'random_state': 42}
0.66090 (+/-0.017) for {'max_depth': 7, 'max_features': 1, 'n_estimators': 1000, 'random_state': 42}
0.66071 (+/-0.022) for {'max_depth': 6, 'max_features': 5, 'n_estimators': 1000, 'random_state': 42}
0.66052 (+/-0.022) for {'max_depth': 6, 'max_features': 3, 'n_estimators': 500, 'random_state': 42}
0.66052 (+/-0.022) for {'max_depth': 6, 'max_features': 3, 'n_estimators': 1000, 'random_state': 42}
0.66032 (+/-0.017) for {'max_depth': 6, 'max_features': 2, 'n_estimators': 1000, 'random_state': 42}
