Best parameters set found on development set:
-0.20516 (+/-0.014) for {'max_depth': 9, 'max_features': 3, 'n_estimators': 1000, 'random_state': 42}

Grid scores on development set:
-0.20516 (+/-0.014) for {'max_depth': 9, 'max_features': 3, 'n_estimators': 1000, 'random_state': 42}
-0.20518 (+/-0.015) for {'max_depth': 9, 'max_features': 5, 'n_estimators': 1000, 'random_state': 42}
-0.20521 (+/-0.015) for {'max_depth': 9, 'max_features': 5, 'n_estimators': 500, 'random_state': 42}
-0.20527 (+/-0.014) for {'max_depth': 9, 'max_features': 4, 'n_estimators': 1000, 'random_state': 42}
-0.20527 (+/-0.013) for {'max_depth': 9, 'max_features': 2, 'n_estimators': 500, 'random_state': 42}
-0.20540 (+/-0.014) for {'max_depth': 9, 'max_features': 4, 'n_estimators': 500, 'random_state': 42}
-0.20541 (+/-0.014) for {'max_depth': 9, 'max_features': 3, 'n_estimators': 500, 'random_state': 42}
-0.20543 (+/-0.015) for {'max_depth': 9, 'max_features': 6, 'n_estimators': 1000, 'random_state': 42}
-0.20546 (+/-0.014) for {'max_depth': 9, 'max_features': 2, 'n_estimators': 1000, 'random_state': 42}
-0.20552 (+/-0.016) for {'max_depth': 9, 'max_features': 7, 'n_estimators': 500, 'random_state': 42}
-0.20556 (+/-0.016) for {'max_depth': 9, 'max_features': 7, 'n_estimators': 1000, 'random_state': 42}
-0.20556 (+/-0.016) for {'max_depth': 9, 'max_features': 6, 'n_estimators': 500, 'random_state': 42}
-0.20715 (+/-0.012) for {'max_depth': 9, 'max_features': 1, 'n_estimators': 1000, 'random_state': 42}
-0.20717 (+/-0.012) for {'max_depth': 9, 'max_features': 1, 'n_estimators': 500, 'random_state': 42}
-0.20831 (+/-0.011) for {'max_depth': 8, 'max_features': 5, 'n_estimators': 500, 'random_state': 42}
-0.20833 (+/-0.011) for {'max_depth': 8, 'max_features': 5, 'n_estimators': 1000, 'random_state': 42}
-0.20834 (+/-0.011) for {'max_depth': 8, 'max_features': 4, 'n_estimators': 500, 'random_state': 42}
-0.20837 (+/-0.011) for {'max_depth': 8, 'max_features': 4, 'n_estimators': 1000, 'random_state': 42}
-0.20844 (+/-0.010) for {'max_depth': 8, 'max_features': 3, 'n_estimators': 500, 'random_state': 42}
-0.20851 (+/-0.010) for {'max_depth': 8, 'max_features': 3, 'n_estimators': 1000, 'random_state': 42}
-0.20862 (+/-0.010) for {'max_depth': 8, 'max_features': 2, 'n_estimators': 500, 'random_state': 42}
-0.20864 (+/-0.012) for {'max_depth': 8, 'max_features': 6, 'n_estimators': 1000, 'random_state': 42}
-0.20865 (+/-0.012) for {'max_depth': 8, 'max_features': 7, 'n_estimators': 500, 'random_state': 42}
-0.20869 (+/-0.010) for {'max_depth': 8, 'max_features': 2, 'n_estimators': 1000, 'random_state': 42}
-0.20869 (+/-0.012) for {'max_depth': 8, 'max_features': 7, 'n_estimators': 1000, 'random_state': 42}
-0.20870 (+/-0.012) for {'max_depth': 8, 'max_features': 6, 'n_estimators': 500, 'random_state': 42}
-0.21054 (+/-0.010) for {'max_depth': 8, 'max_features': 1, 'n_estimators': 1000, 'random_state': 42}
-0.21057 (+/-0.010) for {'max_depth': 8, 'max_features': 1, 'n_estimators': 500, 'random_state': 42}
-0.21131 (+/-0.009) for {'max_depth': 7, 'max_features': 5, 'n_estimators': 1000, 'random_state': 42}
-0.21131 (+/-0.008) for {'max_depth': 7, 'max_features': 4, 'n_estimators': 500, 'random_state': 42}
-0.21137 (+/-0.008) for {'max_depth': 7, 'max_features': 3, 'n_estimators': 1000, 'random_state': 42}
-0.21138 (+/-0.009) for {'max_depth': 7, 'max_features': 6, 'n_estimators': 500, 'random_state': 42}
-0.21139 (+/-0.009) for {'max_depth': 7, 'max_features': 5, 'n_estimators': 500, 'random_state': 42}
-0.21142 (+/-0.008) for {'max_depth': 7, 'max_features': 3, 'n_estimators': 500, 'random_state': 42}
-0.21143 (+/-0.008) for {'max_depth': 7, 'max_features': 4, 'n_estimators': 1000, 'random_state': 42}
-0.21144 (+/-0.009) for {'max_depth': 7, 'max_features': 6, 'n_estimators': 1000, 'random_state': 42}
-0.21151 (+/-0.009) for {'max_depth': 7, 'max_features': 7, 'n_estimators': 500, 'random_state': 42}
-0.21151 (+/-0.009) for {'max_depth': 7, 'max_features': 7, 'n_estimators': 1000, 'random_state': 42}
-0.21151 (+/-0.008) for {'max_depth': 7, 'max_features': 2, 'n_estimators': 500, 'random_state': 42}
-0.21164 (+/-0.008) for {'max_depth': 7, 'max_features': 2, 'n_estimators': 1000, 'random_state': 42}
-0.21358 (+/-0.008) for {'max_depth': 7, 'max_features': 1, 'n_estimators': 1000, 'random_state': 42}
-0.21367 (+/-0.008) for {'max_depth': 6, 'max_features': 6, 'n_estimators': 500, 'random_state': 42}
-0.21368 (+/-0.008) for {'max_depth': 6, 'max_features': 6, 'n_estimators': 1000, 'random_state': 42}
-0.21370 (+/-0.008) for {'max_depth': 7, 'max_features': 1, 'n_estimators': 500, 'random_state': 42}
-0.21372 (+/-0.008) for {'max_depth': 6, 'max_features': 4, 'n_estimators': 500, 'random_state': 42}
-0.21372 (+/-0.008) for {'max_depth': 6, 'max_features': 5, 'n_estimators': 500, 'random_state': 42}
