Best parameters set found on development set:
0.64891 (+/-0.025) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 2, 'classification__n_neighbors': 53, 'classification__p': 2, 'classification__weights': 'uniform'}

Grid scores on development set:
0.64891 (+/-0.025) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 2, 'classification__n_neighbors': 53, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64714 (+/-0.031) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 19, 'classification__n_neighbors': 57, 'classification__p': 2, 'classification__weights': 'distance'}
0.64714 (+/-0.027) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 29, 'classification__n_neighbors': 57, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64625 (+/-0.026) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 25, 'classification__n_neighbors': 67, 'classification__p': 2, 'classification__weights': 'distance'}
0.64625 (+/-0.039) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 7, 'classification__n_neighbors': 43, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64625 (+/-0.035) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 9, 'classification__n_neighbors': 53, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64603 (+/-0.038) for {'classification__algorithm': 'auto', 'classification__leaf_size': 15, 'classification__n_neighbors': 47, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64603 (+/-0.027) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 10, 'classification__n_neighbors': 57, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64603 (+/-0.028) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 11, 'classification__n_neighbors': 57, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64581 (+/-0.025) for {'classification__algorithm': 'auto', 'classification__leaf_size': 15, 'classification__n_neighbors': 55, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64581 (+/-0.028) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 27, 'classification__n_neighbors': 53, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64536 (+/-0.029) for {'classification__algorithm': 'auto', 'classification__leaf_size': 10, 'classification__n_neighbors': 51, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64536 (+/-0.021) for {'classification__algorithm': 'auto', 'classification__leaf_size': 23, 'classification__n_neighbors': 67, 'classification__p': 2, 'classification__weights': 'distance'}
0.64536 (+/-0.024) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 11, 'classification__n_neighbors': 57, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64536 (+/-0.027) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 17, 'classification__n_neighbors': 53, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64514 (+/-0.029) for {'classification__algorithm': 'auto', 'classification__leaf_size': 4, 'classification__n_neighbors': 47, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64514 (+/-0.030) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 14, 'classification__n_neighbors': 53, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64492 (+/-0.033) for {'classification__algorithm': 'auto', 'classification__leaf_size': 7, 'classification__n_neighbors': 53, 'classification__p': 2, 'classification__weights': 'distance'}
0.64492 (+/-0.033) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 14, 'classification__n_neighbors': 57, 'classification__p': 2, 'classification__weights': 'distance'}
0.64492 (+/-0.032) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 9, 'classification__n_neighbors': 57, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64492 (+/-0.027) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 14, 'classification__n_neighbors': 59, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64492 (+/-0.033) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 17, 'classification__n_neighbors': 47, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64492 (+/-0.032) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 19, 'classification__n_neighbors': 45, 'classification__p': 2, 'classification__weights': 'distance'}
0.64492 (+/-0.037) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 25, 'classification__n_neighbors': 59, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64492 (+/-0.035) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 27, 'classification__n_neighbors': 31, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64470 (+/-0.023) for {'classification__algorithm': 'auto', 'classification__leaf_size': 5, 'classification__n_neighbors': 69, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64470 (+/-0.027) for {'classification__algorithm': 'auto', 'classification__leaf_size': 10, 'classification__n_neighbors': 53, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64470 (+/-0.032) for {'classification__algorithm': 'auto', 'classification__leaf_size': 29, 'classification__n_neighbors': 51, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64470 (+/-0.026) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 17, 'classification__n_neighbors': 61, 'classification__p': 2, 'classification__weights': 'uniform'}
