Best parameters set found on development set:
-0.22191 (+/-0.012) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 30, 'classification__n_neighbors': 69, 'classification__p': 1, 'classification__weights': 'uniform'}

Grid scores on development set:
-0.22191 (+/-0.012) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 30, 'classification__n_neighbors': 69, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22192 (+/-0.011) for {'classification__algorithm': 'auto', 'classification__leaf_size': 8, 'classification__n_neighbors': 69, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22194 (+/-0.010) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 25, 'classification__n_neighbors': 65, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22196 (+/-0.013) for {'classification__algorithm': 'auto', 'classification__leaf_size': 19, 'classification__n_neighbors': 67, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22200 (+/-0.011) for {'classification__algorithm': 'auto', 'classification__leaf_size': 21, 'classification__n_neighbors': 65, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22202 (+/-0.010) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 29, 'classification__n_neighbors': 69, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22205 (+/-0.010) for {'classification__algorithm': 'auto', 'classification__leaf_size': 9, 'classification__n_neighbors': 65, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22206 (+/-0.011) for {'classification__algorithm': 'auto', 'classification__leaf_size': 28, 'classification__n_neighbors': 69, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22207 (+/-0.010) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 16, 'classification__n_neighbors': 65, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22209 (+/-0.010) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 4, 'classification__n_neighbors': 69, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22211 (+/-0.012) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 1, 'classification__n_neighbors': 69, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22212 (+/-0.011) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 6, 'classification__n_neighbors': 67, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22213 (+/-0.011) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 9, 'classification__n_neighbors': 67, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22214 (+/-0.010) for {'classification__algorithm': 'auto', 'classification__leaf_size': 4, 'classification__n_neighbors': 69, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22216 (+/-0.011) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 12, 'classification__n_neighbors': 69, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22216 (+/-0.010) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 9, 'classification__n_neighbors': 67, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22218 (+/-0.012) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 21, 'classification__n_neighbors': 63, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22219 (+/-0.011) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 24, 'classification__n_neighbors': 67, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22219 (+/-0.012) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 17, 'classification__n_neighbors': 65, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22220 (+/-0.010) for {'classification__algorithm': 'auto', 'classification__leaf_size': 17, 'classification__n_neighbors': 67, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22220 (+/-0.010) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 28, 'classification__n_neighbors': 61, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22222 (+/-0.011) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 8, 'classification__n_neighbors': 69, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22222 (+/-0.011) for {'classification__algorithm': 'auto', 'classification__leaf_size': 14, 'classification__n_neighbors': 65, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22222 (+/-0.010) for {'classification__algorithm': 'auto', 'classification__leaf_size': 3, 'classification__n_neighbors': 69, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22223 (+/-0.012) for {'classification__algorithm': 'auto', 'classification__leaf_size': 14, 'classification__n_neighbors': 67, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22223 (+/-0.011) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 29, 'classification__n_neighbors': 65, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22224 (+/-0.011) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 25, 'classification__n_neighbors': 69, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22225 (+/-0.010) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 2, 'classification__n_neighbors': 59, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22226 (+/-0.010) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 10, 'classification__n_neighbors': 63, 'classification__p': 2, 'classification__weights': 'uniform'}
