Best parameters set found on development set:
0.65357 (+/-0.029) for {'classification__max_depth': 4, 'classification__max_features': 5, 'classification__n_estimators': 500, 'classification__random_state': 42}

Grid scores on development set:
0.65357 (+/-0.029) for {'classification__max_depth': 4, 'classification__max_features': 5, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65357 (+/-0.013) for {'classification__max_features': 1, 'classification__min_samples_split': 90, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.65357 (+/-0.010) for {'classification__max_features': 2, 'classification__min_samples_leaf': 24, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.65335 (+/-0.024) for {'classification__max_features': 3, 'classification__min_samples_leaf': 96, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65313 (+/-0.017) for {'classification__max_features': 2, 'classification__min_samples_leaf': 34, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65313 (+/-0.018) for {'classification__max_features': 3, 'classification__min_samples_leaf': 44, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65291 (+/-0.013) for {'classification__max_features': 3, 'classification__min_samples_leaf': 53, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65291 (+/-0.023) for {'classification__max_features': 4, 'classification__min_samples_leaf': 84, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65246 (+/-0.018) for {'classification__max_features': 3, 'classification__min_samples_leaf': 75, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65224 (+/-0.016) for {'classification__max_features': 2, 'classification__min_samples_leaf': 33, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.65224 (+/-0.021) for {'classification__max_features': 2, 'classification__min_samples_leaf': 42, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.65202 (+/-0.011) for {'classification__max_depth': 7, 'classification__max_features': 5, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65202 (+/-0.020) for {'classification__max_features': 2, 'classification__min_samples_leaf': 31, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65202 (+/-0.020) for {'classification__max_features': 2, 'classification__min_samples_leaf': 42, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65202 (+/-0.024) for {'classification__max_features': 2, 'classification__min_samples_leaf': 47, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65180 (+/-0.015) for {'classification__max_features': 2, 'classification__min_samples_leaf': 29, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65180 (+/-0.016) for {'classification__max_features': 3, 'classification__min_samples_leaf': 51, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65180 (+/-0.014) for {'classification__max_features': 3, 'classification__min_samples_leaf': 62, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65180 (+/-0.022) for {'classification__max_features': 3, 'classification__min_samples_leaf': 90, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65180 (+/-0.019) for {'classification__max_features': 3, 'classification__min_samples_leaf': 93, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.65180 (+/-0.023) for {'classification__max_features': 4, 'classification__min_samples_leaf': 77, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.65158 (+/-0.018) for {'classification__max_features': 2, 'classification__min_samples_split': 95, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.65158 (+/-0.016) for {'classification__max_features': 2, 'classification__min_samples_leaf': 38, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.65158 (+/-0.015) for {'classification__max_features': 2, 'classification__min_samples_leaf': 60, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.65158 (+/-0.023) for {'classification__max_features': 2, 'classification__min_samples_leaf': 96, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65158 (+/-0.020) for {'classification__max_features': 3, 'classification__min_samples_leaf': 86, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65158 (+/-0.018) for {'classification__max_features': 3, 'classification__min_samples_leaf': 92, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65158 (+/-0.022) for {'classification__max_features': 3, 'classification__min_samples_leaf': 98, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.65135 (+/-0.019) for {'classification__max_depth': 6, 'classification__max_features': 7, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.65135 (+/-0.012) for {'classification__max_features': 1, 'classification__min_samples_split': 92, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65135 (+/-0.028) for {'classification__max_features': 2, 'classification__min_samples_leaf': 20, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65135 (+/-0.027) for {'classification__max_features': 3, 'classification__min_samples_leaf': 47, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65135 (+/-0.021) for {'classification__max_features': 3, 'classification__min_samples_leaf': 75, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.65135 (+/-0.017) for {'classification__max_features': 4, 'classification__min_samples_leaf': 91, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.65113 (+/-0.013) for {'classification__max_features': 2, 'classification__min_samples_leaf': 92, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.65113 (+/-0.023) for {'classification__max_features': 3, 'classification__min_samples_leaf': 73, 'classification__n_estimators': 1000, 'classification__random_state': 42}
