Best parameters set found on development set:
-0.21666 (+/-0.009) for {'classification__max_depth': 3, 'classification__max_features': 6, 'classification__n_estimators': 500, 'classification__random_state': 42}

Grid scores on development set:
-0.21666 (+/-0.009) for {'classification__max_depth': 3, 'classification__max_features': 6, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21668 (+/-0.007) for {'classification__max_depth': 3, 'classification__max_features': 5, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21691 (+/-0.008) for {'classification__max_depth': 3, 'classification__max_features': 7, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21707 (+/-0.008) for {'classification__max_depth': 3, 'classification__max_features': 6, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21714 (+/-0.007) for {'classification__max_depth': 3, 'classification__max_features': 5, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21720 (+/-0.008) for {'classification__max_features': 4, 'classification__min_samples_leaf': 99, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21721 (+/-0.007) for {'classification__max_depth': 2, 'classification__max_features': 7, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21721 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 73, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21722 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 81, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21730 (+/-0.009) for {'classification__max_features': 4, 'classification__min_samples_leaf': 93, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21732 (+/-0.007) for {'classification__max_depth': 2, 'classification__max_features': 7, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21732 (+/-0.009) for {'classification__max_features': 4, 'classification__min_samples_leaf': 51, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21735 (+/-0.009) for {'classification__max_features': 4, 'classification__min_samples_leaf': 97, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21735 (+/-0.009) for {'classification__max_features': 4, 'classification__min_samples_leaf': 92, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21737 (+/-0.008) for {'classification__max_features': 5, 'classification__min_samples_leaf': 100, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21738 (+/-0.009) for {'classification__max_features': 3, 'classification__min_samples_leaf': 79, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21739 (+/-0.008) for {'classification__max_depth': 4, 'classification__max_features': 4, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21739 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 80, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21741 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 95, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21741 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 97, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21742 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 88, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21742 (+/-0.007) for {'classification__max_depth': 2, 'classification__max_features': 5, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21743 (+/-0.009) for {'classification__max_features': 4, 'classification__min_samples_leaf': 89, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21743 (+/-0.008) for {'classification__max_features': 4, 'classification__min_samples_leaf': 94, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21744 (+/-0.008) for {'classification__max_depth': 3, 'classification__max_features': 4, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21744 (+/-0.008) for {'classification__max_features': 4, 'classification__min_samples_leaf': 92, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21745 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 65, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21745 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 85, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21746 (+/-0.008) for {'classification__max_features': 4, 'classification__min_samples_leaf': 85, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21747 (+/-0.008) for {'classification__max_depth': 4, 'classification__max_features': 6, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21747 (+/-0.008) for {'classification__max_features': 4, 'classification__min_samples_leaf': 86, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21747 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 82, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21748 (+/-0.008) for {'classification__max_features': 4, 'classification__min_samples_leaf': 90, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21748 (+/-0.007) for {'classification__max_features': 3, 'classification__min_samples_leaf': 67, 'classification__n_estimators': 1000, 'classification__random_state': 42}
-0.21749 (+/-0.008) for {'classification__max_features': 3, 'classification__min_samples_leaf': 87, 'classification__n_estimators': 500, 'classification__random_state': 42}
-0.21750 (+/-0.008) for {'classification__max_features': 5, 'classification__min_samples_leaf': 96, 'classification__n_estimators': 1000, 'classification__random_state': 42}
