Best parameters set found on development set:
0.66557 (+/-0.018) for {'C': 0.04, 'class_weight': None, 'multi_class': 'ovr', 'penalty': 'l1', 'random_state': 42, 'solver': 'saga', 'tol': 0.001}

Grid scores on development set:
0.66557 (+/-0.018) for {'C': 0.04, 'class_weight': None, 'multi_class': 'ovr', 'penalty': 'l1', 'random_state': 42, 'solver': 'saga', 'tol': 0.001}
0.66557 (+/-0.018) for {'C': 0.04, 'class_weight': None, 'multi_class': 'ovr', 'penalty': 'l1', 'random_state': 42, 'solver': 'saga', 'tol': 0.0001}
0.66557 (+/-0.018) for {'C': 0.04, 'class_weight': None, 'multi_class': 'ovr', 'penalty': 'l1', 'random_state': 42, 'solver': 'saga', 'tol': 1e-05}
0.66557 (+/-0.018) for {'C': 0.04, 'class_weight': None, 'multi_class': 'multinomial', 'penalty': 'l1', 'random_state': 42, 'solver': 'saga', 'tol': 0.001}
0.66557 (+/-0.018) for {'C': 0.04, 'class_weight': None, 'multi_class': 'multinomial', 'penalty': 'l1', 'random_state': 42, 'solver': 'saga', 'tol': 0.0001}
0.66557 (+/-0.018) for {'C': 0.04, 'class_weight': None, 'multi_class': 'multinomial', 'penalty': 'l1', 'random_state': 42, 'solver': 'saga', 'tol': 1e-05}
0.66557 (+/-0.018) for {'C': 0.05, 'class_weight': None, 'multi_class': 'ovr', 'penalty': 'l1', 'random_state': 42, 'solver': 'saga', 'tol': 0.001}
0.66557 (+/-0.018) for {'C': 0.05, 'class_weight': None, 'multi_class': 'ovr', 'penalty': 'l1', 'random_state': 42, 'solver': 'saga', 'tol': 0.0001}
0.66557 (+/-0.018) for {'C': 0.05, 'class_weight': None, 'multi_class': 'ovr', 'penalty': 'l1', 'random_state': 42, 'solver': 'saga', 'tol': 1e-05}
0.66557 (+/-0.018) for {'C': 0.05, 'class_weight': None, 'multi_class': 'multinomial', 'penalty': 'l1', 'random_state': 42, 'solver': 'saga', 'tol': 0.001}
0.66557 (+/-0.018) for {'C': 0.05, 'class_weight': None, 'multi_class': 'multinomial', 'penalty': 'l1', 'random_state': 42, 'solver': 'saga', 'tol': 0.0001}
0.66557 (+/-0.018) for {'C': 0.05, 'class_weight': None, 'multi_class': 'multinomial', 'penalty': 'l1', 'random_state': 42, 'solver': 'saga', 'tol': 1e-05}
0.66557 (+/-0.018) for {'C': 0.06, 'class_weight': None, 'multi_class': 'ovr', 'penalty': 'l1', 'random_state': 42, 'solver': 'saga', 'tol': 0.001}
0.66557 (+/-0.018) for {'C': 0.06, 'class_weight': None, 'multi_class': 'ovr', 'penalty': 'l1', 'random_state': 42, 'solver': 'saga', 'tol': 0.0001}
0.66557 (+/-0.018) for {'C': 0.06, 'class_weight': None, 'multi_class': 'ovr', 'penalty': 'l1', 'random_state': 42, 'solver': 'saga', 'tol': 1e-05}
0.66557 (+/-0.018) for {'C': 0.06, 'class_weight': None, 'multi_class': 'multinomial', 'penalty': 'l1', 'random_state': 42, 'solver': 'saga', 'tol': 0.001}
0.66557 (+/-0.018) for {'C': 0.06, 'class_weight': None, 'multi_class': 'multinomial', 'penalty': 'l1', 'random_state': 42, 'solver': 'saga', 'tol': 0.0001}
0.66557 (+/-0.018) for {'C': 0.06, 'class_weight': None, 'multi_class': 'multinomial', 'penalty': 'l1', 'random_state': 42, 'solver': 'saga', 'tol': 1e-05}
0.66557 (+/-0.017) for {'C': 0.08, 'class_weight': None, 'multi_class': 'ovr', 'penalty': 'l1', 'random_state': 42, 'solver': 'saga', 'tol': 0.001}
0.66557 (+/-0.017) for {'C': 0.08, 'class_weight': None, 'multi_class': 'ovr', 'penalty': 'l1', 'random_state': 42, 'solver': 'saga', 'tol': 0.0001}
0.66557 (+/-0.017) for {'C': 0.08, 'class_weight': None, 'multi_class': 'ovr', 'penalty': 'l1', 'random_state': 42, 'solver': 'saga', 'tol': 1e-05}
0.66557 (+/-0.017) for {'C': 0.08, 'class_weight': None, 'multi_class': 'multinomial', 'penalty': 'l1', 'random_state': 42, 'solver': 'saga', 'tol': 0.001}
0.66557 (+/-0.017) for {'C': 0.08, 'class_weight': None, 'multi_class': 'multinomial', 'penalty': 'l1', 'random_state': 42, 'solver': 'saga', 'tol': 0.0001}
0.66557 (+/-0.017) for {'C': 0.08, 'class_weight': None, 'multi_class': 'multinomial', 'penalty': 'l1', 'random_state': 42, 'solver': 'saga', 'tol': 1e-05}
0.66534 (+/-0.018) for {'C': 0.02, 'class_weight': None, 'max_iter': 900, 'multi_class': 'multinomial', 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.001}
0.66534 (+/-0.018) for {'C': 0.02, 'class_weight': None, 'max_iter': 900, 'multi_class': 'multinomial', 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001}
0.66534 (+/-0.018) for {'C': 0.02, 'class_weight': None, 'max_iter': 900, 'multi_class': 'multinomial', 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 1e-05}
0.66534 (+/-0.018) for {'C': 0.02, 'class_weight': None, 'max_iter': 900, 'multi_class': 'multinomial', 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.001}
0.66534 (+/-0.018) for {'C': 0.02, 'class_weight': None, 'max_iter': 900, 'multi_class': 'multinomial', 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001}
0.66534 (+/-0.018) for {'C': 0.02, 'class_weight': None, 'max_iter': 900, 'multi_class': 'multinomial', 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 1e-05}
0.66534 (+/-0.018) for {'C': 0.02, 'class_weight': None, 'max_iter': 900, 'multi_class': 'multinomial', 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 0.001}
0.66534 (+/-0.018) for {'C': 0.02, 'class_weight': None, 'max_iter': 900, 'multi_class': 'multinomial', 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 0.0001}
0.66534 (+/-0.018) for {'C': 0.02, 'class_weight': None, 'max_iter': 900, 'multi_class': 'multinomial', 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 1e-05}
0.66534 (+/-0.018) for {'C': 0.02, 'class_weight': None, 'max_iter': 910, 'multi_class': 'multinomial', 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.001}
0.66534 (+/-0.018) for {'C': 0.02, 'class_weight': None, 'max_iter': 910, 'multi_class': 'multinomial', 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001}
0.66534 (+/-0.018) for {'C': 0.02, 'class_weight': None, 'max_iter': 910, 'multi_class': 'multinomial', 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 1e-05}
0.66534 (+/-0.018) for {'C': 0.02, 'class_weight': None, 'max_iter': 910, 'multi_class': 'multinomial', 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.001}
0.66534 (+/-0.018) for {'C': 0.02, 'class_weight': None, 'max_iter': 910, 'multi_class': 'multinomial', 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001}
0.66534 (+/-0.018) for {'C': 0.02, 'class_weight': None, 'max_iter': 910, 'multi_class': 'multinomial', 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 1e-05}
0.66534 (+/-0.018) for {'C': 0.02, 'class_weight': None, 'max_iter': 910, 'multi_class': 'multinomial', 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 0.001}
0.66534 (+/-0.018) for {'C': 0.02, 'class_weight': None, 'max_iter': 910, 'multi_class': 'multinomial', 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 0.0001}
0.66534 (+/-0.018) for {'C': 0.02, 'class_weight': None, 'max_iter': 910, 'multi_class': 'multinomial', 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 1e-05}
0.66534 (+/-0.018) for {'C': 0.02, 'class_weight': None, 'max_iter': 920, 'multi_class': 'multinomial', 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.001}
0.66534 (+/-0.018) for {'C': 0.02, 'class_weight': None, 'max_iter': 920, 'multi_class': 'multinomial', 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001}
0.66534 (+/-0.018) for {'C': 0.02, 'class_weight': None, 'max_iter': 920, 'multi_class': 'multinomial', 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 1e-05}
0.66534 (+/-0.018) for {'C': 0.02, 'class_weight': None, 'max_iter': 920, 'multi_class': 'multinomial', 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.001}
