Best parameters set found on development set:
0.66579 (+/-0.015) for {'max_depth': 3, 'max_features': 4, 'n_estimators': 1000, 'random_state': 42}

Grid scores on development set:
0.66579 (+/-0.015) for {'max_depth': 3, 'max_features': 4, 'n_estimators': 1000, 'random_state': 42}
0.66512 (+/-0.015) for {'max_depth': 3, 'max_features': 3, 'n_estimators': 1000, 'random_state': 42}
0.66490 (+/-0.018) for {'max_depth': 3, 'max_features': 4, 'n_estimators': 500, 'random_state': 42}
0.66424 (+/-0.014) for {'max_depth': 3, 'max_features': 3, 'n_estimators': 500, 'random_state': 42}
0.66424 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 62, 'n_estimators': 1000, 'random_state': 42}
0.66424 (+/-0.015) for {'max_features': 3, 'min_samples_leaf': 90, 'n_estimators': 500, 'random_state': 42}
0.66402 (+/-0.017) for {'max_depth': 4, 'max_features': 3, 'n_estimators': 500, 'random_state': 42}
0.66380 (+/-0.013) for {'max_depth': 3, 'max_features': 5, 'n_estimators': 500, 'random_state': 42}
0.66358 (+/-0.018) for {'max_depth': 4, 'max_features': 2, 'n_estimators': 1000, 'random_state': 42}
0.66358 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 76, 'n_estimators': 500, 'random_state': 42}
0.66336 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 93, 'n_estimators': 500, 'random_state': 42}
0.66336 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 93, 'n_estimators': 1000, 'random_state': 42}
0.66336 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 94, 'n_estimators': 500, 'random_state': 42}
0.66336 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 99, 'n_estimators': 500, 'random_state': 42}
0.66336 (+/-0.015) for {'max_features': 3, 'min_samples_leaf': 66, 'n_estimators': 500, 'random_state': 42}
0.66336 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 67, 'n_estimators': 500, 'random_state': 42}
0.66336 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 96, 'n_estimators': 1000, 'random_state': 42}
0.66314 (+/-0.015) for {'max_depth': 3, 'max_features': 5, 'n_estimators': 1000, 'random_state': 42}
0.66314 (+/-0.016) for {'max_depth': 4, 'max_features': 2, 'n_estimators': 500, 'random_state': 42}
0.66314 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 90, 'n_estimators': 1000, 'random_state': 42}
0.66314 (+/-0.015) for {'max_features': 3, 'min_samples_leaf': 82, 'n_estimators': 500, 'random_state': 42}
0.66314 (+/-0.012) for {'max_features': 3, 'min_samples_leaf': 93, 'n_estimators': 500, 'random_state': 42}
0.66292 (+/-0.015) for {'max_depth': 5, 'max_features': 3, 'n_estimators': 500, 'random_state': 42}
0.66292 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 64, 'n_estimators': 1000, 'random_state': 42}
0.66292 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 69, 'n_estimators': 1000, 'random_state': 42}
0.66292 (+/-0.009) for {'max_features': 2, 'min_samples_leaf': 77, 'n_estimators': 500, 'random_state': 42}
0.66292 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 91, 'n_estimators': 1000, 'random_state': 42}
0.66292 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 92, 'n_estimators': 1000, 'random_state': 42}
0.66292 (+/-0.017) for {'max_features': 3, 'min_samples_leaf': 88, 'n_estimators': 1000, 'random_state': 42}
0.66292 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 91, 'n_estimators': 500, 'random_state': 42}
0.66292 (+/-0.015) for {'max_features': 3, 'min_samples_leaf': 95, 'n_estimators': 1000, 'random_state': 42}
0.66292 (+/-0.015) for {'max_features': 3, 'min_samples_leaf': 96, 'n_estimators': 500, 'random_state': 42}
0.66292 (+/-0.015) for {'max_features': 3, 'min_samples_leaf': 97, 'n_estimators': 500, 'random_state': 42}
0.66292 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 97, 'n_estimators': 1000, 'random_state': 42}
0.66270 (+/-0.008) for {'max_depth': 2, 'max_features': 4, 'n_estimators': 500, 'random_state': 42}
0.66270 (+/-0.011) for {'max_depth': 2, 'max_features': 4, 'n_estimators': 1000, 'random_state': 42}
0.66270 (+/-0.018) for {'max_depth': 4, 'max_features': 4, 'n_estimators': 500, 'random_state': 42}
0.66270 (+/-0.018) for {'max_features': 2, 'min_samples_leaf': 60, 'n_estimators': 1000, 'random_state': 42}
0.66270 (+/-0.010) for {'max_features': 2, 'min_samples_leaf': 81, 'n_estimators': 500, 'random_state': 42}
0.66270 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 83, 'n_estimators': 500, 'random_state': 42}
0.66270 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 100, 'n_estimators': 500, 'random_state': 42}
0.66270 (+/-0.012) for {'max_features': 3, 'min_samples_leaf': 67, 'n_estimators': 1000, 'random_state': 42}
0.66270 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 68, 'n_estimators': 500, 'random_state': 42}
0.66270 (+/-0.012) for {'max_features': 3, 'min_samples_leaf': 68, 'n_estimators': 1000, 'random_state': 42}
