Best parameters set found on development set:
0.73182 (+/-0.014) for {'max_depth': 3, 'max_features': 3, 'n_estimators': 500, 'random_state': 42}

Grid scores on development set:
0.73182 (+/-0.014) for {'max_depth': 3, 'max_features': 3, 'n_estimators': 500, 'random_state': 42} probability 0.085
0.73139 (+/-0.015) for {'max_depth': 3, 'max_features': 3, 'n_estimators': 1000, 'random_state': 42} probability 0.079
0.73091 (+/-0.006) for {'max_depth': 2, 'max_features': 2, 'n_estimators': 500, 'random_state': 42} probability 0.110
0.73085 (+/-0.005) for {'max_depth': 2, 'max_features': 2, 'n_estimators': 1000, 'random_state': 42} probability 0.120
0.73062 (+/-0.014) for {'max_depth': 2, 'max_features': 3, 'n_estimators': 500, 'random_state': 42} probability 0.364
0.73059 (+/-0.016) for {'max_depth': 2, 'max_features': 4, 'n_estimators': 1000, 'random_state': 42} probability 0.754
0.73037 (+/-0.010) for {'max_depth': 3, 'max_features': 2, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.73029 (+/-0.014) for {'max_depth': 4, 'max_features': 2, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.73023 (+/-0.017) for {'max_depth': 3, 'max_features': 4, 'n_estimators': 1000, 'random_state': 42} probability 0.397
0.72979 (+/-0.014) for {'max_depth': 4, 'max_features': 3, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72976 (+/-0.004) for {'max_depth': 1, 'max_features': 2, 'n_estimators': 500, 'random_state': 42} probability 0.232
0.72971 (+/-0.017) for {'max_depth': 3, 'max_features': 4, 'n_estimators': 500, 'random_state': 42} probability 0.416
0.72970 (+/-0.018) for {'max_features': 2, 'min_samples_leaf': 69, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72962 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 100, 'n_estimators': 500, 'random_state': 42} probability 0.030
0.72961 (+/-0.018) for {'max_features': 2, 'min_samples_leaf': 78, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72955 (+/-0.012) for {'max_features': 3, 'min_samples_leaf': 67, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72945 (+/-0.012) for {'max_depth': 4, 'max_features': 2, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72940 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 63, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72935 (+/-0.014) for {'max_depth': 2, 'max_features': 3, 'n_estimators': 1000, 'random_state': 42} probability 0.121
0.72932 (+/-0.006) for {'max_depth': 1, 'max_features': 2, 'n_estimators': 1000, 'random_state': 42} probability 0.165
0.72931 (+/-0.012) for {'max_features': 3, 'min_samples_leaf': 99, 'n_estimators': 500, 'random_state': 42} probability 0.037
0.72930 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 64, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72928 (+/-0.026) for {'max_depth': 3, 'max_features': 5, 'n_estimators': 500, 'random_state': 42} probability 0.413
0.72925 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 66, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72923 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 68, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72912 (+/-0.011) for {'max_depth': 3, 'max_features': 2, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72912 (+/-0.025) for {'max_depth': 3, 'max_features': 5, 'n_estimators': 1000, 'random_state': 42} probability 0.430
0.72909 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 79, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72906 (+/-0.012) for {'max_features': 3, 'min_samples_leaf': 66, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72904 (+/-0.013) for {'max_features': 1, 'min_samples_leaf': 31, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72904 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 92, 'n_estimators': 500, 'random_state': 42} probability 0.008
0.72901 (+/-0.011) for {'max_features': 3, 'min_samples_leaf': 78, 'n_estimators': 1000, 'random_state': 42} probability 0.006
0.72900 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 81, 'n_estimators': 500, 'random_state': 42} probability 0.002
0.72895 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 61, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72895 (+/-0.016) for {'max_depth': 4, 'max_features': 4, 'n_estimators': 1000, 'random_state': 42} probability 0.007
0.72892 (+/-0.008) for {'max_depth': 5, 'max_features': 1, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72891 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 86, 'n_estimators': 1000, 'random_state': 42} probability 0.006
0.72890 (+/-0.014) for {'max_features': 1, 'min_samples_leaf': 32, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72889 (+/-0.018) for {'max_features': 2, 'min_samples_leaf': 68, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72888 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 69, 'n_estimators': 1000, 'random_state': 42} probability 0.000
