Best parameters set found on development set:
-0.21208 (+/-0.006) for {'C': 100, 'gamma': 0.0001, 'kernel': 'rbf', 'probability': True}

Grid scores on development set:
-0.21208 (+/-0.006) for {'C': 100, 'gamma': 0.0001, 'kernel': 'rbf', 'probability': True} probability 0.494
-0.21210 (+/-0.006) for {'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid', 'probability': True} probability 0.473
-0.21210 (+/-0.006) for {'C': 100, 'gamma': 0.0001, 'kernel': 'sigmoid', 'probability': True} probability 0.473
-0.21211 (+/-0.006) for {'C': 0.1, 'kernel': 'linear', 'probability': True} probability 0.498
-0.21211 (+/-0.006) for {'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid', 'probability': True} probability 0.501
-0.21214 (+/-0.006) for {'C': 1, 'kernel': 'linear', 'probability': True} probability 0.496
-0.21214 (+/-0.006) for {'C': 10, 'kernel': 'linear', 'probability': True} probability 0.499
-0.21216 (+/-0.006) for {'C': 100, 'kernel': 'linear', 'probability': True} probability 0.484
-0.21234 (+/-0.006) for {'C': 10, 'gamma': 0.001, 'kernel': 'rbf', 'probability': True} probability 0.437
-0.21352 (+/-0.005) for {'C': 100, 'gamma': 1e-05, 'kernel': 'rbf', 'probability': True} probability 0.470
-0.21353 (+/-0.005) for {'C': 10, 'gamma': 0.0001, 'kernel': 'rbf', 'probability': True} probability 0.471
-0.21366 (+/-0.005) for {'C': 1, 'gamma': 0.001, 'kernel': 'rbf', 'probability': True} probability 0.487
-0.21367 (+/-0.006) for {'C': 100, 'gamma': 0.001, 'kernel': 'rbf', 'probability': True} probability 0.101
-0.21484 (+/-0.005) for {'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid', 'probability': True} probability 0.591
-0.21484 (+/-0.005) for {'C': 100, 'gamma': 1e-05, 'kernel': 'sigmoid', 'probability': True} probability 0.589
-0.21484 (+/-0.005) for {'C': 10, 'gamma': 0.0001, 'kernel': 'sigmoid', 'probability': True} probability 0.581
-0.21728 (+/-0.005) for {'C': 1, 'gamma': 1e-06, 'kernel': 'rbf', 'probability': True} probability 0.756
-0.21734 (+/-0.005) for {'C': 0.1, 'gamma': 1e-05, 'kernel': 'rbf', 'probability': True} probability 0.680
-0.21744 (+/-0.005) for {'C': 10, 'gamma': 1e-07, 'kernel': 'rbf', 'probability': True} probability 0.663
-0.21817 (+/-0.003) for {'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True} probability 0.000
-0.21817 (+/-0.003) for {'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf', 'probability': True} probability 0.000
-0.21818 (+/-0.006) for {'C': 0.1, 'gamma': 1e-05, 'kernel': 'sigmoid', 'probability': True} probability 0.615
-0.21827 (+/-0.006) for {'C': 10, 'gamma': 1e-07, 'kernel': 'sigmoid', 'probability': True} probability 0.486
-0.21836 (+/-0.005) for {'C': 10, 'gamma': 1e-06, 'kernel': 'sigmoid', 'probability': True} probability 0.644
-0.21837 (+/-0.006) for {'C': 1, 'gamma': 1e-06, 'kernel': 'sigmoid', 'probability': True} probability 0.412
-0.21838 (+/-0.006) for {'C': 100, 'gamma': 1e-07, 'kernel': 'rbf', 'probability': True} probability 0.465
-0.21848 (+/-0.005) for {'C': 0.1, 'gamma': 0.0001, 'kernel': 'sigmoid', 'probability': True} probability 0.469
-0.21856 (+/-0.005) for {'C': 1, 'gamma': 1e-05, 'kernel': 'sigmoid', 'probability': True} probability 0.682
-0.21857 (+/-0.005) for {'C': 1, 'gamma': 0.0001, 'kernel': 'sigmoid', 'probability': True} probability 0.623
-0.21858 (+/-0.005) for {'C': 100, 'gamma': 1e-07, 'kernel': 'sigmoid', 'probability': True} probability 0.630
-0.21861 (+/-0.005) for {'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid', 'probability': True} probability 0.568
-0.21864 (+/-0.006) for {'C': 100, 'gamma': 1e-06, 'kernel': 'sigmoid', 'probability': True} probability 0.287
-0.21867 (+/-0.005) for {'C': 10, 'gamma': 1e-05, 'kernel': 'sigmoid', 'probability': True} probability 0.309
-0.21868 (+/-0.006) for {'C': 0.1, 'gamma': 0.0001, 'kernel': 'rbf', 'probability': True} probability 0.591
-0.21876 (+/-0.006) for {'C': 10, 'gamma': 1e-06, 'kernel': 'rbf', 'probability': True} probability 0.195
-0.21876 (+/-0.006) for {'C': 100, 'gamma': 1e-06, 'kernel': 'rbf', 'probability': True} probability 0.130
-0.21880 (+/-0.006) for {'C': 1, 'gamma': 0.0001, 'kernel': 'rbf', 'probability': True} probability 0.384
-0.21881 (+/-0.005) for {'C': 10, 'gamma': 1e-05, 'kernel': 'rbf', 'probability': True} probability 0.559
-0.21883 (+/-0.005) for {'C': 1, 'gamma': 1e-05, 'kernel': 'rbf', 'probability': True} probability 0.508
-0.21893 (+/-0.004) for {'C': 1, 'gamma': 'auto', 'kernel': 'rbf', 'probability': True} probability 0.000
-0.21894 (+/-0.004) for {'C': 1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True} probability 0.000
-0.21908 (+/-0.005) for {'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf', 'probability': True} probability 0.642
