Best parameters set found on development set:
-0.21282 (+/-0.007) for {'max_depth': 2, 'max_features': 8, 'n_estimators': 500, 'random_state': 42}

Grid scores on development set:
-0.21282 (+/-0.007) for {'max_depth': 2, 'max_features': 8, 'n_estimators': 500, 'random_state': 42}
-0.21283 (+/-0.007) for {'max_depth': 3, 'max_features': 7, 'n_estimators': 1000, 'random_state': 42}
-0.21284 (+/-0.007) for {'max_depth': 3, 'max_features': 8, 'n_estimators': 500, 'random_state': 42}
-0.21284 (+/-0.007) for {'max_depth': 3, 'max_features': 6, 'n_estimators': 500, 'random_state': 42}
-0.21284 (+/-0.007) for {'max_depth': 2, 'max_features': 8, 'n_estimators': 1000, 'random_state': 42}
-0.21284 (+/-0.007) for {'max_depth': 3, 'max_features': 8, 'n_estimators': 1000, 'random_state': 42}
-0.21285 (+/-0.007) for {'max_depth': 3, 'max_features': 6, 'n_estimators': 1000, 'random_state': 42}
-0.21285 (+/-0.007) for {'max_depth': 3, 'max_features': 7, 'n_estimators': 500, 'random_state': 42}
-0.21291 (+/-0.007) for {'max_depth': 2, 'max_features': 7, 'n_estimators': 500, 'random_state': 42}
-0.21291 (+/-0.007) for {'max_depth': 2, 'max_features': 7, 'n_estimators': 1000, 'random_state': 42}
-0.21301 (+/-0.007) for {'max_depth': 4, 'max_features': 6, 'n_estimators': 500, 'random_state': 42}
-0.21304 (+/-0.006) for {'max_depth': 3, 'max_features': 5, 'n_estimators': 500, 'random_state': 42}
-0.21305 (+/-0.008) for {'max_depth': 4, 'max_features': 6, 'n_estimators': 1000, 'random_state': 42}
-0.21308 (+/-0.007) for {'max_depth': 3, 'max_features': 5, 'n_estimators': 1000, 'random_state': 42}
-0.21309 (+/-0.007) for {'max_depth': 4, 'max_features': 5, 'n_estimators': 1000, 'random_state': 42}
-0.21311 (+/-0.007) for {'max_depth': 4, 'max_features': 5, 'n_estimators': 500, 'random_state': 42}
-0.21314 (+/-0.008) for {'max_depth': 4, 'max_features': 7, 'n_estimators': 1000, 'random_state': 42}
-0.21315 (+/-0.008) for {'max_depth': 4, 'max_features': 7, 'n_estimators': 500, 'random_state': 42}
-0.21316 (+/-0.006) for {'max_depth': 2, 'max_features': 6, 'n_estimators': 500, 'random_state': 42}
-0.21318 (+/-0.006) for {'max_depth': 2, 'max_features': 6, 'n_estimators': 1000, 'random_state': 42}
-0.21320 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 99, 'n_estimators': 1000, 'random_state': 42}
-0.21320 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 99, 'n_estimators': 500, 'random_state': 42}
-0.21321 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 100, 'n_estimators': 500, 'random_state': 42}
-0.21321 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 100, 'n_estimators': 1000, 'random_state': 42}
-0.21321 (+/-0.008) for {'max_depth': 4, 'max_features': 8, 'n_estimators': 500, 'random_state': 42}
-0.21322 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 98, 'n_estimators': 1000, 'random_state': 42}
-0.21322 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 98, 'n_estimators': 500, 'random_state': 42}
-0.21323 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 96, 'n_estimators': 1000, 'random_state': 42}
-0.21323 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 97, 'n_estimators': 1000, 'random_state': 42}
-0.21323 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 96, 'n_estimators': 500, 'random_state': 42}
-0.21323 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 95, 'n_estimators': 1000, 'random_state': 42}
-0.21324 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 95, 'n_estimators': 500, 'random_state': 42}
-0.21324 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 97, 'n_estimators': 500, 'random_state': 42}
-0.21325 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 94, 'n_estimators': 500, 'random_state': 42}
-0.21325 (+/-0.008) for {'max_depth': 4, 'max_features': 8, 'n_estimators': 1000, 'random_state': 42}
-0.21326 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 94, 'n_estimators': 1000, 'random_state': 42}
-0.21326 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 93, 'n_estimators': 500, 'random_state': 42}
-0.21327 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 93, 'n_estimators': 1000, 'random_state': 42}
-0.21327 (+/-0.007) for {'max_features': 6, 'min_samples_leaf': 99, 'n_estimators': 1000, 'random_state': 42}
-0.21328 (+/-0.007) for {'max_features': 6, 'min_samples_leaf': 99, 'n_estimators': 500, 'random_state': 42}
-0.21328 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 91, 'n_estimators': 500, 'random_state': 42}
-0.21328 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 90, 'n_estimators': 500, 'random_state': 42}
-0.21329 (+/-0.007) for {'max_features': 6, 'min_samples_leaf': 100, 'n_estimators': 1000, 'random_state': 42}
-0.21329 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 92, 'n_estimators': 1000, 'random_state': 42}
