Best parameters set found on development set:
-0.21363 (+/-0.006) for {'max_depth': 2, 'max_features': 7, 'n_estimators': 500, 'random_state': 42}

Grid scores on development set:
-0.21363 (+/-0.006) for {'max_depth': 2, 'max_features': 7, 'n_estimators': 500, 'random_state': 42} probability 0.003
-0.21364 (+/-0.006) for {'max_depth': 2, 'max_features': 7, 'n_estimators': 1000, 'random_state': 42} probability 0.002
-0.21369 (+/-0.006) for {'max_depth': 2, 'max_features': 6, 'n_estimators': 500, 'random_state': 42} probability 0.001
-0.21370 (+/-0.006) for {'max_depth': 2, 'max_features': 6, 'n_estimators': 1000, 'random_state': 42} probability 0.001
-0.21377 (+/-0.006) for {'max_depth': 3, 'max_features': 6, 'n_estimators': 1000, 'random_state': 42} probability 0.000
-0.21379 (+/-0.006) for {'max_features': 5, 'min_samples_leaf': 100, 'n_estimators': 1000, 'random_state': 42} probability 0.000
-0.21379 (+/-0.006) for {'max_features': 5, 'min_samples_leaf': 99, 'n_estimators': 1000, 'random_state': 42} probability 0.000
-0.21380 (+/-0.007) for {'max_features': 6, 'min_samples_leaf': 100, 'n_estimators': 1000, 'random_state': 42} probability 0.000
-0.21381 (+/-0.006) for {'max_depth': 3, 'max_features': 6, 'n_estimators': 500, 'random_state': 42} probability 0.000
-0.21381 (+/-0.006) for {'max_features': 5, 'min_samples_leaf': 98, 'n_estimators': 1000, 'random_state': 42} probability 0.000
-0.21382 (+/-0.006) for {'max_depth': 3, 'max_features': 7, 'n_estimators': 500, 'random_state': 42} probability 0.000
-0.21382 (+/-0.006) for {'max_features': 5, 'min_samples_leaf': 97, 'n_estimators': 1000, 'random_state': 42} probability 0.000
-0.21383 (+/-0.006) for {'max_depth': 3, 'max_features': 7, 'n_estimators': 1000, 'random_state': 42} probability 0.000
-0.21383 (+/-0.005) for {'max_depth': 3, 'max_features': 5, 'n_estimators': 1000, 'random_state': 42} probability 0.000
-0.21383 (+/-0.006) for {'max_features': 4, 'min_samples_leaf': 100, 'n_estimators': 1000, 'random_state': 42} probability 0.000
-0.21384 (+/-0.007) for {'max_features': 6, 'min_samples_leaf': 99, 'n_estimators': 1000, 'random_state': 42} probability 0.000
-0.21384 (+/-0.005) for {'max_depth': 3, 'max_features': 5, 'n_estimators': 500, 'random_state': 42} probability 0.000
-0.21384 (+/-0.006) for {'max_features': 5, 'min_samples_leaf': 96, 'n_estimators': 1000, 'random_state': 42} probability 0.000
-0.21385 (+/-0.007) for {'max_features': 6, 'min_samples_leaf': 97, 'n_estimators': 1000, 'random_state': 42} probability 0.000
-0.21385 (+/-0.006) for {'max_features': 4, 'min_samples_leaf': 98, 'n_estimators': 1000, 'random_state': 42} probability 0.000
-0.21385 (+/-0.007) for {'max_features': 6, 'min_samples_leaf': 98, 'n_estimators': 1000, 'random_state': 42} probability 0.000
-0.21386 (+/-0.006) for {'max_features': 4, 'min_samples_leaf': 97, 'n_estimators': 1000, 'random_state': 42} probability 0.000
-0.21386 (+/-0.006) for {'max_features': 4, 'min_samples_leaf': 99, 'n_estimators': 1000, 'random_state': 42} probability 0.000
-0.21387 (+/-0.006) for {'max_features': 4, 'min_samples_leaf': 96, 'n_estimators': 1000, 'random_state': 42} probability 0.000
-0.21388 (+/-0.006) for {'max_features': 4, 'min_samples_leaf': 100, 'n_estimators': 500, 'random_state': 42} probability 0.000
-0.21388 (+/-0.007) for {'max_features': 6, 'min_samples_leaf': 96, 'n_estimators': 1000, 'random_state': 42} probability 0.000
-0.21388 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 100, 'n_estimators': 500, 'random_state': 42} probability 0.000
-0.21388 (+/-0.006) for {'max_features': 4, 'min_samples_leaf': 95, 'n_estimators': 1000, 'random_state': 42} probability 0.000
-0.21388 (+/-0.006) for {'max_features': 5, 'min_samples_leaf': 95, 'n_estimators': 1000, 'random_state': 42} probability 0.000
-0.21389 (+/-0.006) for {'max_features': 4, 'min_samples_leaf': 97, 'n_estimators': 500, 'random_state': 42} probability 0.000
-0.21389 (+/-0.006) for {'max_features': 4, 'min_samples_leaf': 95, 'n_estimators': 500, 'random_state': 42} probability 0.000
-0.21390 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 97, 'n_estimators': 500, 'random_state': 42} probability 0.000
-0.21390 (+/-0.006) for {'max_features': 4, 'min_samples_leaf': 98, 'n_estimators': 500, 'random_state': 42} probability 0.000
-0.21390 (+/-0.006) for {'max_features': 4, 'min_samples_leaf': 94, 'n_estimators': 1000, 'random_state': 42} probability 0.000
-0.21390 (+/-0.007) for {'max_features': 6, 'min_samples_leaf': 95, 'n_estimators': 1000, 'random_state': 42} probability 0.000
-0.21390 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 98, 'n_estimators': 500, 'random_state': 42} probability 0.000
-0.21390 (+/-0.007) for {'max_features': 5, 'min_samples_leaf': 96, 'n_estimators': 500, 'random_state': 42} probability 0.000
-0.21390 (+/-0.006) for {'max_features': 4, 'min_samples_leaf': 96, 'n_estimators': 500, 'random_state': 42} probability 0.000
-0.21390 (+/-0.006) for {'max_features': 4, 'min_samples_leaf': 99, 'n_estimators': 500, 'random_state': 42} probability 0.000
