Best parameters set found on development set:
0.72955 (+/-0.018) for {'max_depth': 2, 'max_features': 3, 'n_estimators': 500, 'random_state': 42}

Grid scores on development set:
0.72955 (+/-0.018) for {'max_depth': 2, 'max_features': 3, 'n_estimators': 500, 'random_state': 42} probability 0.388
0.72917 (+/-0.020) for {'max_depth': 2, 'max_features': 4, 'n_estimators': 1000, 'random_state': 42} probability 0.821
0.72892 (+/-0.016) for {'max_depth': 2, 'max_features': 3, 'n_estimators': 1000, 'random_state': 42} probability 0.131
0.72878 (+/-0.011) for {'max_depth': 2, 'max_features': 2, 'n_estimators': 1000, 'random_state': 42} probability 0.006
0.72863 (+/-0.018) for {'max_depth': 3, 'max_features': 3, 'n_estimators': 1000, 'random_state': 42} probability 0.032
0.72854 (+/-0.012) for {'max_depth': 2, 'max_features': 2, 'n_estimators': 500, 'random_state': 42} probability 0.010
0.72851 (+/-0.013) for {'max_depth': 5, 'max_features': 2, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72830 (+/-0.019) for {'max_depth': 1, 'max_features': 1, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72828 (+/-0.018) for {'max_depth': 1, 'max_features': 1, 'n_estimators': 500, 'random_state': 42} probability 0.003
0.72805 (+/-0.018) for {'max_features': 3, 'min_samples_leaf': 74, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72805 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 57, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72804 (+/-0.018) for {'max_features': 2, 'min_samples_leaf': 56, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72800 (+/-0.017) for {'max_features': 3, 'min_samples_leaf': 82, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72797 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 59, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72786 (+/-0.017) for {'max_features': 3, 'min_samples_leaf': 89, 'n_estimators': 500, 'random_state': 42} probability 0.004
0.72786 (+/-0.018) for {'max_features': 2, 'min_samples_leaf': 61, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72780 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 60, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72775 (+/-0.018) for {'max_features': 3, 'min_samples_leaf': 83, 'n_estimators': 1000, 'random_state': 42} probability 0.001
0.72774 (+/-0.017) for {'max_features': 3, 'min_samples_leaf': 87, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72773 (+/-0.019) for {'max_features': 3, 'min_samples_leaf': 85, 'n_estimators': 500, 'random_state': 42} probability 0.004
0.72771 (+/-0.013) for {'max_depth': 3, 'max_features': 2, 'n_estimators': 1000, 'random_state': 42} probability 0.001
0.72770 (+/-0.017) for {'max_features': 3, 'min_samples_leaf': 76, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72768 (+/-0.020) for {'max_depth': 2, 'max_features': 4, 'n_estimators': 500, 'random_state': 42} probability 0.754
0.72765 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 60, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72763 (+/-0.018) for {'max_features': 3, 'min_samples_leaf': 72, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72760 (+/-0.017) for {'max_features': 3, 'min_samples_leaf': 78, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72758 (+/-0.017) for {'max_features': 3, 'min_samples_leaf': 80, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72752 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 58, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72750 (+/-0.018) for {'max_features': 2, 'min_samples_leaf': 57, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72750 (+/-0.016) for {'max_features': 3, 'min_samples_leaf': 73, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72749 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 65, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72748 (+/-0.018) for {'max_features': 3, 'min_samples_leaf': 81, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72743 (+/-0.020) for {'max_features': 3, 'min_samples_leaf': 87, 'n_estimators': 1000, 'random_state': 42} probability 0.001
0.72738 (+/-0.018) for {'max_features': 3, 'min_samples_leaf': 73, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72737 (+/-0.018) for {'max_features': 3, 'min_samples_leaf': 78, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72737 (+/-0.018) for {'max_features': 3, 'min_samples_leaf': 77, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72736 (+/-0.018) for {'max_features': 2, 'min_samples_leaf': 66, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72736 (+/-0.019) for {'max_features': 3, 'min_samples_leaf': 84, 'n_estimators': 1000, 'random_state': 42} probability 0.001
0.72734 (+/-0.021) for {'max_features': 2, 'min_samples_leaf': 69, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72734 (+/-0.018) for {'max_depth': 4, 'max_features': 3, 'n_estimators': 1000, 'random_state': 42} probability 0.000
