Best parameters set found on development set:
0.66807 (+/-0.020) for {'max_features': 5, 'min_samples_leaf': 53, 'n_estimators': 500, 'random_state': 42}

Grid scores on development set:
0.66807 (+/-0.020) for {'max_features': 5, 'min_samples_leaf': 53, 'n_estimators': 500, 'random_state': 42}
0.66784 (+/-0.016) for {'max_features': 4, 'min_samples_leaf': 31, 'n_estimators': 1000, 'random_state': 42}
0.66760 (+/-0.019) for {'max_features': 4, 'min_samples_leaf': 57, 'n_estimators': 500, 'random_state': 42}
0.66760 (+/-0.020) for {'max_features': 5, 'min_samples_leaf': 57, 'n_estimators': 500, 'random_state': 42}
0.66737 (+/-0.024) for {'max_features': 4, 'min_samples_leaf': 14, 'n_estimators': 1000, 'random_state': 42}
0.66737 (+/-0.017) for {'max_features': 4, 'min_samples_leaf': 31, 'n_estimators': 500, 'random_state': 42}
0.66737 (+/-0.017) for {'max_features': 4, 'min_samples_leaf': 32, 'n_estimators': 500, 'random_state': 42}
0.66737 (+/-0.019) for {'max_features': 4, 'min_samples_leaf': 40, 'n_estimators': 500, 'random_state': 42}
0.66713 (+/-0.019) for {'max_features': 4, 'min_samples_leaf': 28, 'n_estimators': 500, 'random_state': 42}
0.66713 (+/-0.016) for {'max_features': 4, 'min_samples_leaf': 30, 'n_estimators': 1000, 'random_state': 42}
0.66713 (+/-0.014) for {'max_features': 4, 'min_samples_leaf': 32, 'n_estimators': 1000, 'random_state': 42}
0.66713 (+/-0.017) for {'max_features': 4, 'min_samples_leaf': 42, 'n_estimators': 500, 'random_state': 42}
0.66713 (+/-0.020) for {'max_features': 4, 'min_samples_leaf': 43, 'n_estimators': 500, 'random_state': 42}
0.66713 (+/-0.018) for {'max_features': 7, 'min_samples_leaf': 94, 'n_estimators': 500, 'random_state': 42}
0.66690 (+/-0.026) for {'max_features': 4, 'min_samples_leaf': 14, 'n_estimators': 500, 'random_state': 42}
0.66690 (+/-0.015) for {'max_features': 4, 'min_samples_leaf': 23, 'n_estimators': 1000, 'random_state': 42}
0.66690 (+/-0.020) for {'max_features': 4, 'min_samples_leaf': 25, 'n_estimators': 500, 'random_state': 42}
0.66690 (+/-0.018) for {'max_features': 4, 'min_samples_leaf': 30, 'n_estimators': 500, 'random_state': 42}
0.66690 (+/-0.020) for {'max_features': 4, 'min_samples_leaf': 60, 'n_estimators': 500, 'random_state': 42}
0.66690 (+/-0.021) for {'max_features': 4, 'min_samples_leaf': 81, 'n_estimators': 500, 'random_state': 42}
0.66690 (+/-0.021) for {'max_features': 5, 'min_samples_leaf': 54, 'n_estimators': 500, 'random_state': 42}
0.66667 (+/-0.017) for {'max_depth': 3, 'max_features': 11, 'n_estimators': 1000, 'random_state': 42}
0.66667 (+/-0.012) for {'max_features': 3, 'min_samples_leaf': 23, 'n_estimators': 1000, 'random_state': 42}
0.66667 (+/-0.023) for {'max_features': 4, 'min_samples_leaf': 19, 'n_estimators': 1000, 'random_state': 42}
0.66667 (+/-0.019) for {'max_features': 4, 'min_samples_leaf': 26, 'n_estimators': 500, 'random_state': 42}
0.66667 (+/-0.021) for {'max_features': 4, 'min_samples_leaf': 28, 'n_estimators': 1000, 'random_state': 42}
0.66667 (+/-0.015) for {'max_features': 4, 'min_samples_leaf': 42, 'n_estimators': 1000, 'random_state': 42}
0.66667 (+/-0.016) for {'max_features': 4, 'min_samples_leaf': 48, 'n_estimators': 1000, 'random_state': 42}
0.66667 (+/-0.019) for {'max_features': 4, 'min_samples_leaf': 62, 'n_estimators': 1000, 'random_state': 42}
0.66667 (+/-0.023) for {'max_features': 5, 'min_samples_leaf': 53, 'n_estimators': 1000, 'random_state': 42}
0.66667 (+/-0.023) for {'max_features': 5, 'min_samples_leaf': 60, 'n_estimators': 500, 'random_state': 42}
0.66667 (+/-0.020) for {'max_features': 6, 'min_samples_leaf': 34, 'n_estimators': 500, 'random_state': 42}
0.66667 (+/-0.016) for {'max_features': 7, 'min_samples_leaf': 98, 'n_estimators': 500, 'random_state': 42}
0.66643 (+/-0.019) for {'max_features': 4, 'min_samples_leaf': 23, 'n_estimators': 500, 'random_state': 42}
0.66643 (+/-0.022) for {'max_features': 4, 'min_samples_leaf': 76, 'n_estimators': 500, 'random_state': 42}
0.66643 (+/-0.021) for {'max_features': 4, 'min_samples_leaf': 80, 'n_estimators': 500, 'random_state': 42}
0.66643 (+/-0.022) for {'max_features': 4, 'min_samples_leaf': 82, 'n_estimators': 500, 'random_state': 42}
0.66643 (+/-0.017) for {'max_features': 5, 'min_samples_leaf': 36, 'n_estimators': 500, 'random_state': 42}
0.66643 (+/-0.023) for {'max_features': 5, 'min_samples_leaf': 52, 'n_estimators': 500, 'random_state': 42}
0.66643 (+/-0.022) for {'max_features': 5, 'min_samples_leaf': 61, 'n_estimators': 500, 'random_state': 42}
0.66643 (+/-0.021) for {'max_features': 5, 'min_samples_leaf': 67, 'n_estimators': 500, 'random_state': 42}
0.66643 (+/-0.018) for {'max_features': 7, 'min_samples_leaf': 93, 'n_estimators': 1000, 'random_state': 42}
0.66643 (+/-0.016) for {'max_features': 7, 'min_samples_leaf': 96, 'n_estimators': 500, 'random_state': 42}
