Best parameters set found on development set:
0.66557 (+/-0.015) for {'max_depth': 3, 'max_features': 5, 'n_estimators': 1000, 'random_state': 42}

Grid scores on development set:
0.66557 (+/-0.015) for {'max_depth': 3, 'max_features': 5, 'n_estimators': 1000, 'random_state': 42}
0.66468 (+/-0.015) for {'max_depth': 3, 'max_features': 5, 'n_estimators': 500, 'random_state': 42}
0.66402 (+/-0.016) for {'max_depth': 3, 'max_features': 4, 'n_estimators': 1000, 'random_state': 42}
0.66402 (+/-0.014) for {'max_depth': 4, 'max_features': 4, 'n_estimators': 1000, 'random_state': 42}
0.66358 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 66, 'n_estimators': 500, 'random_state': 42}
0.66336 (+/-0.006) for {'max_depth': 9, 'max_features': 1, 'n_estimators': 500, 'random_state': 42}
0.66336 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 35, 'n_estimators': 500, 'random_state': 42}
0.66336 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 47, 'n_estimators': 500, 'random_state': 42}
0.66336 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 57, 'n_estimators': 500, 'random_state': 42}
0.66336 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 58, 'n_estimators': 500, 'random_state': 42}
0.66336 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 60, 'n_estimators': 500, 'random_state': 42}
0.66292 (+/-0.008) for {'max_depth': 2, 'max_features': 4, 'n_estimators': 500, 'random_state': 42}
0.66292 (+/-0.007) for {'max_depth': 2, 'max_features': 5, 'n_estimators': 500, 'random_state': 42}
0.66292 (+/-0.017) for {'max_depth': 4, 'max_features': 3, 'n_estimators': 1000, 'random_state': 42}
0.66292 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 59, 'n_estimators': 500, 'random_state': 42}
0.66292 (+/-0.017) for {'max_features': 3, 'min_samples_leaf': 91, 'n_estimators': 500, 'random_state': 42}
0.66270 (+/-0.011) for {'max_depth': 2, 'max_features': 4, 'n_estimators': 1000, 'random_state': 42}
0.66270 (+/-0.014) for {'max_depth': 3, 'max_features': 3, 'n_estimators': 500, 'random_state': 42}
0.66270 (+/-0.014) for {'max_depth': 4, 'max_features': 4, 'n_estimators': 500, 'random_state': 42}
0.66270 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 35, 'n_estimators': 1000, 'random_state': 42}
0.66270 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 36, 'n_estimators': 1000, 'random_state': 42}
0.66270 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 39, 'n_estimators': 500, 'random_state': 42}
0.66270 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 41, 'n_estimators': 1000, 'random_state': 42}
0.66270 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 55, 'n_estimators': 1000, 'random_state': 42}
0.66270 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 56, 'n_estimators': 500, 'random_state': 42}
0.66270 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 56, 'n_estimators': 1000, 'random_state': 42}
0.66270 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 58, 'n_estimators': 1000, 'random_state': 42}
0.66248 (+/-0.007) for {'max_depth': 2, 'max_features': 5, 'n_estimators': 1000, 'random_state': 42}
0.66248 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 43, 'n_estimators': 1000, 'random_state': 42}
0.66248 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 53, 'n_estimators': 1000, 'random_state': 42}
0.66248 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 54, 'n_estimators': 1000, 'random_state': 42}
0.66248 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 55, 'n_estimators': 500, 'random_state': 42}
0.66248 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 57, 'n_estimators': 1000, 'random_state': 42}
0.66226 (+/-0.016) for {'max_depth': 3, 'max_features': 3, 'n_estimators': 1000, 'random_state': 42}
0.66226 (+/-0.013) for {'max_depth': 3, 'max_features': 4, 'n_estimators': 500, 'random_state': 42}
0.66226 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 44, 'n_estimators': 1000, 'random_state': 42}
0.66226 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 48, 'n_estimators': 500, 'random_state': 42}
0.66226 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 51, 'n_estimators': 1000, 'random_state': 42}
0.66226 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 60, 'n_estimators': 1000, 'random_state': 42}
0.66226 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 67, 'n_estimators': 500, 'random_state': 42}
0.66226 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 69, 'n_estimators': 500, 'random_state': 42}
0.66226 (+/-0.017) for {'max_features': 3, 'min_samples_leaf': 92, 'n_estimators': 500, 'random_state': 42}
0.66226 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 93, 'n_estimators': 1000, 'random_state': 42}
0.66226 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 94, 'n_estimators': 500, 'random_state': 42}
