team,week,pass_yards,rush_yards,points_scored,location,boxscore_index
Bills,1,292,121,31,Away,g1
Rams,1,191,52,10,Home,g1
Saints,1,234,151,27,Away,g2
Falcons,1,215,201,26,Home,g2
49ers,1,155,176,10,Away,g3
Bears,1,105,99,19,Home,g3
Steelers,1,192,75,23,Away,g4
Bengals,1,299,133,20,Home,g4
Eagles,1,239,216,38,Away,g5
Lions,1,205,181,35,Home,g5
Patriots,1,193,75,7,Away,g6
Dolphins,1,242,65,20,Home,g6
Ravens,1,211,63,24,Away,g7
Jets,1,297,83,9,Home,g7
Jaguars,1,260,123,22,Away,g8
Commanders,1,305,85,28,Home,g8
Browns,1,138,217,26,Away,g9
Panthers,1,207,54,24,Home,g9
Colts,1,340,177,20,Away,g10
Texans,1,222,77,20,Home,g10
Giants,1,156,238,21,Away,g11
Titans,1,266,93,20,Home,g11
Packers,1,227,111,7,Away,g12
Vikings,1,269,126,23,Home,g12
Chiefs,1,360,128,44,Away,g13
Cardinals,1,179,103,21,Home,g13
Raiders,1,256,64,19,Away,g14
Chargers,1,279,76,24,Home,g14
Buccaneers,1,195,152,19,Away,g15
Cowboys,1,173,71,3,Home,g15
Broncos,1,330,103,16,Away,g16
Seahawks,1,177,76,17,Home,g16
Chargers,2,326,75,24,Away,g17
Chiefs,2,226,93,27,Home,g17
Jets,2,309,93,31,Away,g18
Browns,2,221,184,30,Home,g18
Commanders,2,308,88,27,Away,g19
Lions,2,234,191,36,Home,g19
Buccaneers,2,188,30,20,Away,g20
Saints,2,208,100,10,Home,g20
Panthers,2,129,146,16,Away,g21
Giants,2,162,103,19,Home,g21
Patriots,2,252,124,17,Away,g22
Steelers,2,152,91,14,Home,g22
Colts,2,164,54,0,Away,g23
Jaguars,2,235,96,24,Home,g23
Dolphins,2,461,86,42,Away,g24
Ravens,2,318,155,38,Home,g24
Falcons,2,171,90,27,Away,g25
Rams,2,272,65,31,Home,g25
Seahawks,2,180,36,7,Away,g26
49ers,2,184,189,27,Home,g26
Bengals,2,165,89,17,Away,g27
Cowboys,2,230,107,20,Home,g27
Texans,2,154,80,9,Away,g28
Broncos,2,201,149,16,Home,g28
Cardinals,2,270,143,29,Away,g29
Raiders,2,244,80,23,Home,g29
Bears,2,48,180,10,Away,g30
Packers,2,211,203,27,Home,g30
Titans,2,107,80,7,Away,g31
Bills,2,313,101,41,Home,g31
Vikings,2,202,62,7,Away,g32
Eagles,2,323,163,24,Home,g32
Steelers,3,204,104,17,Away,g33
Browns,3,205,171,29,Home,g33
Texans,3,237,92,20,Away,g34
Bears,3,82,281,23,Home,g34
Raiders,3,300,96,22,Away,g35
Titans,3,252,109,24,Home,g35
Chiefs,3,257,58,17,Away,g36
Colts,3,177,82,20,Home,g36
Bills,3,382,115,19,Away,g37
Dolphins,3,171,41,21,Home,g37
Lions,3,277,139,24,Away,g38
Vikings,3,250,123,28,Home,g38
Ravens,3,206,188,37,Away,g39
Patriots,3,302,145,26,Home,g39
Bengals,3,261,69,27,Away,g40
Jets,3,252,76,12,Home,g40
Eagles,3,328,72,24,Away,g41
Commanders,3,153,87,8,Home,g41
Saints,3,342,84,14,Away,g42
Panthers,3,148,145,22,Home,g42
Jaguars,3,262,151,38,Away,g43
